cluster,axis2_score
0,0.96587
1,0.967766
2,0.878516
3,0.524143
4,0.390627
5,0.109455
6,0.94141
7,0.070542
8,0.877798
9,0.897659
10,0.908022
11,0.820581
12,0.916123
13,0.73928
14,0.865015
15,0.91442
16,0.761752
17,0.548591
18,0.787829
19,0.771428
20,0.676108
21,0.629784
22,0.795354
23,0.769706
24,0.445708
25,0.512767
26,0.729476
27,0.750908
28,0.700208
29,0.482895
30,0.787592
31,0.716983
32,0.25528
33,0.549231
