cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
1,advantage,11,62,118,0.957,1.93318683370718e-09,0,8.409746803480614e-07
1,speeding,5,7,118,0.108,1.646995054278465e-08,0,6.439750662228798e-06
1,gaining,8,33,118,0.509,2.5476552288722e-08,0,9.673432177696938e-06
1,got penalty,4,5,118,0.077,2.662911732202039e-07,1,8.491327469169298e-05
1,penalty hanging,3,3,118,0.046,3.582803457587863e-06,1,0.000921124045096
1,penalty unsafe,3,3,118,0.046,3.582803457587863e-06,1,0.000921124045096
1,risk penalty,3,3,118,0.046,3.582803457587863e-06,1,0.000921124045096
1,gets second,3,6,118,0.093,6.925932971174835e-05,1,0.0128881213884003
2,lights away,41,56,54,0.395,3.913882098276145e-85,1,2.337228066105122e-81
2,lights,45,105,54,0.741,1.2837403509069726e-79,0,6.48664124387517e-76
2,away,41,194,54,1.37,3.7779529760634417e-56,0,1.078983369963719e-52
2,away gets,6,7,54,0.049,6.487360881147078e-13,1,4.3263123001095346e-10
2,away getting,4,5,54,0.035,1.1048688573222971e-08,1,4.452553711643377e-06
2,start,11,205,54,1.448,1.370653572208984e-07,0,4.593647543431823e-05
2,lights lights,3,3,54,0.021,3.329431617512975e-07,1,0.0001041446209958
2,away ahead,3,4,54,0.028,1.3251085570329306e-06,1,0.000377630068956
2,start good,3,4,54,0.028,1.3251085570329306e-06,1,0.000377630068956
2,getting away,3,7,54,0.049,1.1421592032052388e-05,1,0.0026050747826439
2,better start,3,8,54,0.056,1.8183187496220507e-05,1,0.0037978289992105
2,gets away,3,14,54,0.099,0.0001146923471038,1,0.0200369970653196
2,away comes,2,3,54,0.021,0.0001461812562681,1,0.0244334716583774
2,reaction,4,42,54,0.297,0.0002037759828004,0,0.0329695486655049
2,better,5,78,54,0.551,0.0002076203231165,0,0.0335502184129833
2,gets better,2,4,54,0.028,0.0002910374039792,1,0.0447196841931936
3,mirrors,22,25,47,0.154,1.432135924619428e-48,0,3.8397610047510614e-45
3,mirror,18,24,47,0.148,4.916019857261533e-37,0,9.785560981327138e-34
3,checking,11,16,47,0.098,5.724423045985567e-22,0,6.655325682207079e-19
3,scarlet,9,14,47,0.086,1.0876529971307716e-17,0,1.0663544787391961e-14
3,checks,8,10,47,0.061,4.852953562501904e-17,0,4.4898706142764086e-14
3,checking mirrors,6,6,47,0.037,3.873862314764348e-14,1,2.9762136576870235e-11
3,checking left,5,6,47,0.037,4.209781518344629e-11,1,2.26665678997559e-08
3,hand mirror,5,6,47,0.037,4.209781518344629e-11,1,2.26665678997559e-08
3,left mirror,4,4,47,0.025,1.2528449532196404e-09,1,5.617534422327081e-07
3,looking mirrors,4,4,47,0.025,1.2528449532196404e-09,1,5.617534422327081e-07
3,left,10,132,47,0.811,5.020738601732565e-09,0,2.1141171619910816e-06
3,checks mirrors,3,3,47,0.018,2.1765333687297569e-07,1,7.095390765514653e-05
3,looking,8,122,47,0.75,6.228443953239511e-07,0,0.0001838804613035
3,checks mirror,3,4,47,0.025,8.66854812632244e-07,1,0.0002491989449986
3,driving mirrors,3,4,47,0.025,8.66854812632244e-07,1,0.0002491989449986
3,left hand,5,37,47,0.227,2.6528396490195897e-06,1,0.0007156457119704
3,sees,4,22,47,0.135,8.450298191988534e-06,0,0.0019718763326299
3,hand,5,64,47,0.393,4.0998531395724966e-05,0,0.0079914288733601
3,check,3,15,47,0.092,9.4026950642819e-05,0,0.0168755255022554
3,doesn need,2,3,47,0.018,0.0001104953440191,1,0.0194329803425219
3,having look,2,4,47,0.025,0.0002201238332257,1,0.0352045692637203
