cluster,axis4_score
0,0.809013
1,0.8197
2,0.70034
3,0.725258
4,0.850541
5,0.769654
6,0.617321
7,0.77448
8,0.675365
9,0.619972
10,0.80913
11,0.778759
12,0.740419
13,0.527939
14,0.5433
15,0.626396
16,0.667256
17,0.622054
18,0.372243
19,0.607866
20,0.669207
21,0.504845
22,0.644558
23,0.610683
24,0.490363
25,0.531074
26,0.554038
27,0.388877
28,0.634574
29,0.688585
30,0.583571
31,0.619948
32,0.412737
33,0.409911
