min_cluster_size,n_clusters,noise_pct,largest_cluster,selected_setting
10,83,31.816398587681444,470,False
15,62,35.15103962338172,496,False
20,44,30.391003007715444,812,False
25,38,29.44945730351772,950,False
30,35,34.379495226886355,786,False
35,34,33.51641166470512,762,True
40,33,34.17026284817575,767,False
45,30,34.575650581927555,779,False
50,29,35.68719759382765,767,False
55,3,0.0,7324,False
60,3,0.0,7324,False
75,3,0.0,7324,False
90,3,0.0,7324,False
120,2,0.0,7442,False
