Unnamed: 0,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47
H10,0.42930594,0.9183681,0.39607477,0.3932041,0.45693547,0.35411382,0.23423433,0.5733813,0.410595,0.38043633,0.32441598,0.4500587,0.3417067,0.40617132,0.44233155,0.28129068,0.47999,0.41231567,0.33575404,0.37328368,0.26757744,0.50083,0.16422491,0.39784718,0.50888443,0.44340783,0.54460764,0.6032938,0.4846144,0.37506926,0.5457639,0.3638582,0.47131902,0.30157357,0.421058,0.31102973,0.51778543,0.32108945,0.4203021,0.5239187,0.5266404,0.4609301,0.40858644,0.57922256,0.4471817,0.45982373,0.37764966,0.60277104
H11,0.26107228,0.27206415,0.2238855,0.39032203,0.2984959,0.34002566,0.16176149,0.28817138,0.32074872,0.21893278,0.44512403,0.28241718,0.29584557,0.3004579,0.2871244,0.17360137,0.36671913,0.31547868,0.35853404,0.2845587,0.77529263,0.3427741,0.4105541,0.4470654,0.22569945,0.23578611,0.21675402,0.28709447,0.3840444,0.42475098,0.22840638,0.21615708,0.3489403,0.35094047,0.42457962,0.35562402,0.33471012,0.20092012,0.4872507,0.21837899,0.30005133,0.39374676,0.38846725,0.33904818,0.31446815,0.38755566,0.32815427,0.27063504
H12,0.50075585,0.36826843,0.36354294,0.5910003,0.57275766,0.59283394,0.16462468,0.53018045,0.43364334,0.38559365,0.5473216,0.62660784,0.34005553,0.29200044,0.36793485,0.28168195,0.44785136,0.38790038,0.2794024,0.43461916,0.29244047,0.5216183,0.27319092,0.37737143,0.39259917,0.4535155,0.5483179,0.58028567,0.5713227,0.9432528,0.5628074,0.35072547,0.57087743,0.5011387,0.73527175,0.6545419,0.6759849,0.51293343,0.35128987,0.27287474,0.5477656,0.6080289,0.49883318,0.4183979,0.37622046,0.49764854,0.2743786,0.4734326
H13,0.527568,0.34911156,0.2999954,0.57634383,0.5510695,0.45983946,0.22364925,0.4736665,0.4909641,0.26513642,0.6150696,0.5309129,0.31392646,0.32135645,0.35635763,0.41260338,0.37408772,0.3664036,0.28837532,0.5353892,0.2416197,0.49260437,0.49523258,0.4821928,0.33653075,0.4692915,0.515629,0.4620881,0.65500975,0.7142229,0.45609045,0.35726866,0.5422616,0.80123556,0.8436284,0.90847945,0.6215195,0.55206734,0.3501979,0.2605738,0.47150207,0.5947473,0.5064384,0.34284252,0.32817227,0.5370444,0.26532498,0.35823092
H14,0.50671697,0.53089553,0.48011324,0.5245343,0.54322624,0.5096711,0.3197919,0.96995795,0.45230222,0.44485885,0.4607892,0.50808084,0.41411415,0.493029,0.4931785,0.34197092,0.46820796,0.43818986,0.4179942,0.4463556,0.2541127,0.54581225,0.2569375,0.44751778,0.5479511,0.51962733,0.5923656,0.61867154,0.59252506,0.48470688,0.60221934,0.4427067,0.51033485,0.38800257,0.49102062,0.3983026,0.5605031,0.39685416,0.43332267,0.54678047,0.6337527,0.5873941,0.52172107,0.5904201,0.5225556,0.56941503,0.41437036,0.610389
H15,0.41865855,0.4992702,0.4280022,0.55326533,0.44709164,0.36234486,0.40824473,0.60403764,0.4861492,0.31229728,0.45397872,0.35755053,0.3330648,0.9613708,0.38935155,0.3277511,0.282341,0.42239624,0.4364441,0.28296995,0.22094429,0.5622144,0.2521977,0.38981336,0.49502093,0.45608756,0.33732474,0.3992246,0.41127273,0.3465355,0.41590613,0.3736071,0.39402622,0.32374722,0.38001257,0.34525114,0.40182096,0.3462779,0.48563486,0.63366103,0.6233425,0.5549151,0.5894686,0.7398797,0.56908935,0.6766386,0.6043576,0.6565151
H16,0.502103,0.47981006,0.40220237,0.560147,0.39311212,0.35333025,0.21348709,0.6104249,0.47330946,0.34465754,0.3980952,0.3545547,0.44037092,0.5401746,0.5442046,0.30589807,0.370395,0.45881456,0.44411477,0.3132848,0.25005415,0.5466137,0.20897752,0.42310798,0.45709887,0.3724765,0.35863766,0.4123159,0.41244859,0.39357257,0.4052044,0.35623866,0.33275142,0.3204877,0.3542388,0.26735264,0.3498015,0.23573273,0.5361624,0.5086974,0.5913509,0.5826487,0.5743948,0.65462315,0.9542562,0.66848826,0.7210617,0.75689
H17,0.5496368,0.45064455,0.41920596,0.42286277,0.45775974,0.40449965,0.27325058,0.54762113,0.4534368,0.351465,0.41026816,0.47906366,0.3921731,0.37492,0.3788364,0.28105775,0.4006385,0.42331982,0.3607151,0.40393066,0.26361442,0.61803657,0.2665413,0.4332381,0.47059682,0.40736932,0.46065423,0.5318581,0.5274727,0.41561875,0.8949772,0.8550433,0.49750936,0.370548,0.4531783,0.3954031,0.6070515,0.41568375,0.38552636,0.40220535,0.5086063,0.5402554,0.52914953,0.4905632,0.4052043,0.4537589,0.39056793,0.4667626
H18,0.54971266,0.42283672,0.44251972,0.39329267,0.58791554,0.55205286,0.3283915,0.6178156,0.4407248,0.42079407,0.48426694,0.6091001,0.44703436,0.3444575,0.43858665,0.42897522,0.52468276,0.48337153,0.3265244,0.4614029,0.34196234,0.5431705,0.34600174,0.47497633,0.49615186,0.4412464,0.7229606,0.76947105,0.948081,0.5277579,0.6726862,0.3868968,0.6313913,0.56503516,0.6739975,0.51297563,0.71545315,0.4352309,0.40297428,0.4188938,0.45457387,0.4935894,0.39259863,0.53650343,0.41792732,0.5321868,0.27899444,0.5291414
H19,0.4202782,0.35159904,0.36636567,0.29861015,0.5053172,0.38487235,0.24285424,0.4782277,0.39755192,0.33212167,0.29118574,0.5494936,0.3585404,0.29466653,0.34926265,0.35232496,0.4277136,0.42306715,0.20864604,0.3388568,0.3031385,0.4169012,0.16743144,0.3508212,0.36015147,0.36538947,0.6625254,0.7633044,0.6593424,0.4543332,0.6475979,0.30837488,0.6531241,0.3587544,0.62309647,0.38510677,0.7003386,0.34153014,0.399769,0.3510685,0.44974905,0.4528806,0.2496058,0.45439672,0.35129306,0.40424442,0.19965474,0.5142363
H20,0.5112916,0.44040942,0.4388796,0.3480143,0.46477246,0.4454018,0.34643236,0.5079234,0.3941487,0.3546942,0.369586,0.5309079,0.4010021,0.43670103,0.46212515,0.3245338,0.35506248,0.45392638,0.39016277,0.39756584,0.23518175,0.47927544,0.23560534,0.43726793,0.57006145,0.5160018,0.55547726,0.5177655,0.5121004,0.37190926,0.43491393,0.3474524,0.4030902,0.30796963,0.36759466,0.3186497,0.40991145,0.36828497,0.40320912,0.4999839,0.40867764,0.377552,0.3591654,0.58401716,0.5022269,0.4984757,0.34471807,0.54384476
H21,0.57901776,0.54514456,0.44072023,0.47873265,0.47299078,0.40352273,0.2581404,0.61568826,0.5199354,0.3581316,0.45868626,0.5133555,0.41643113,0.612455,0.43557867,0.31167942,0.3913178,0.4641555,0.41636214,0.30813164,0.24696627,0.6144794,0.21460393,0.40911508,0.63620293,0.55145484,0.48628724,0.53487647,0.4611075,0.38698494,0.5518348,0.44469267,0.4049272,0.24224399,0.37111735,0.33232433,0.45386553,0.36375138,0.5653926,0.6170757,0.5822097,0.51696694,0.5726595,0.9375747,0.61775106,0.6301272,0.5626744,0.7742585
H22,0.42243186,0.45071852,0.3909861,0.33739883,0.46243376,0.37882233,0.22749284,0.5431561,0.38433725,0.37210426,0.2817738,0.5302416,0.38112468,0.5261577,0.37961912,0.24539015,0.47703183,0.4056742,0.30534914,0.29722977,0.28484902,0.50202113,0.1360028,0.37103644,0.4783846,0.34075722,0.566015,0.7167283,0.57761776,0.36683583,0.6088537,0.3006169,0.5363065,0.2578447,0.5037184,0.28205281,0.5897242,0.218523,0.46851894,0.55321515,0.550717,0.42837185,0.348482,0.7574585,0.47431844,0.5457448,0.41266942,0.6686845
H23,0.5125975,0.5328262,0.38263756,0.67383623,0.50847363,0.40773502,0.22146454,0.67994225,0.5470122,0.35524368,0.46388048,0.5476757,0.3438628,0.57517326,0.49531043,0.3060618,0.426872,0.4747879,0.4329704,0.3720981,0.19541028,0.5872901,0.27601904,0.40046483,0.50125766,0.45687234,0.41045937,0.48541433,0.45627075,0.53678524,0.52740014,0.40646046,0.4881264,0.4040522,0.50941277,0.45895454,0.5253679,0.40637338,0.49877673,0.53981507,0.9664218,0.7673939,0.6766536,0.6249659,0.5666574,0.68594915,0.542486,0.677489
