pair_id,event_id,threshold,category_id,category_name,register,n_category,n_total,n_assigned,p_all,p_assigned
P01,2023_Australia_GP,0.45,27,Overtake battles,HIGHLIGHT,11,68,65,0.1617647058823529,0.1692307692307692
P01,2023_Australia_GP,0.45,28,Corner battles,HIGHLIGHT,3,68,65,0.0441176470588235,0.0461538461538461
P01,2023_Australia_GP,0.45,29,Corner specific moves,HIGHLIGHT,4,68,65,0.0588235294117647,0.0615384615384615
P01,2023_Australia_GP,0.45,30,Lap pace & timing,HIGHLIGHT,0,68,65,0.0,0.0
P01,2023_Australia_GP,0.45,31,Race leader changes,HIGHLIGHT,1,68,65,0.0147058823529411,0.0153846153846153
P01,2023_Australia_GP,0.45,32,Front position changes,HIGHLIGHT,2,68,65,0.0294117647058823,0.0307692307692307
P01,2023_Australia_GP,0.45,33,Field position changes,HIGHLIGHT,2,68,65,0.0294117647058823,0.0307692307692307
P01,2023_Australia_GP,0.35,0,DRS-assisted battles,FULL_RACE,63,2466,1946,0.0255474452554744,0.0323741007194244
P01,2023_Australia_GP,0.35,1,Time penalties,FULL_RACE,21,2466,1946,0.0085158150851581,0.0107913669064748
P01,2023_Australia_GP,0.35,2,Lights-out race starts,FULL_RACE,18,2466,1946,0.0072992700729927,0.0092497430626927
P01,2023_Australia_GP,0.35,3,Mirror checks defending,FULL_RACE,14,2466,1946,0.0056772100567721,0.0071942446043165
P01,2023_Australia_GP,0.35,4,Race start launch,FULL_RACE,8,2466,1946,0.0032441200324412,0.0041109969167523
P01,2023_Australia_GP,0.35,5,Weather conditions,FULL_RACE,16,2466,1946,0.0064882400648824,0.0082219938335046
P01,2023_Australia_GP,0.35,6,Grand Prix wins,FULL_RACE,114,2466,1946,0.0462287104622871,0.0585817060637204
P01,2023_Australia_GP,0.35,7,Race start lights,FULL_RACE,13,2466,1946,0.0052716950527169,0.0066803699897225
P01,2023_Australia_GP,0.35,8,Race control flags,FULL_RACE,51,2466,1946,0.0206812652068126,0.0262076053442959
P01,2023_Australia_GP,0.35,9,Formula 1 milestones,FULL_RACE,31,2466,1946,0.0125709651257096,0.0159301130524152
P01,2023_Australia_GP,0.35,10,Chicane moves,FULL_RACE,6,2466,1946,0.0024330900243309,0.0030832476875642
P01,2023_Australia_GP,0.35,11,Team radio celebrations,FULL_RACE,45,2466,1946,0.0182481751824817,0.0231243576567317
P01,2023_Australia_GP,0.35,12,Podium finishes,FULL_RACE,47,2466,1946,0.019059205190592,0.0241521068859198
P01,2023_Australia_GP,0.35,13,Championship & title,FULL_RACE,79,2466,1946,0.0320356853203568,0.040596094552929
P01,2023_Australia_GP,0.35,14,Pit stops,FULL_RACE,45,2466,1946,0.0182481751824817,0.0231243576567317
P01,2023_Australia_GP,0.35,15,Tires & compounds,FULL_RACE,80,2466,1946,0.032441200324412,0.0411099691675231
P01,2023_Australia_GP,0.35,16,Safety car deployment,FULL_RACE,91,2466,1946,0.0369018653690186,0.0467625899280575
P01,2023_Australia_GP,0.35,17,Gap & pace,FULL_RACE,68,2466,1946,0.0275750202757502,0.0349434737923946
P01,2023_Australia_GP,0.35,18,Team dynamics,FULL_RACE,147,2466,1946,0.059610705596107,0.0755395683453237
P01,2023_Australia_GP,0.35,19,Race lead holding,FULL_RACE,18,2466,1946,0.0072992700729927,0.0092497430626927
P01,2023_Australia_GP,0.35,20,Wing & car damage,FULL_RACE,36,2466,1946,0.0145985401459854,0.0184994861253854
P01,2023_Australia_GP,0.35,21,Braking & lockups,FULL_RACE,70,2466,1946,0.0283860502838605,0.0359712230215827
