event_id,k_blocks,n_valid,n_failed,observed_effect,null_mean,null_sd,null_p2.5,null_p97.5,p_one_sided_depletion,below_null_p2.5
2023_Australia_GP,1,10000,0,-0.0553136227868926,0.0036056307715267,0.0911258462181137,-0.1391748595893056,0.2034276359543664,0.3110688931106889,False
2023_Australia_GP,5,10000,0,-0.0553136227868926,0.0030627391842139,0.0719832202763372,-0.1217867722789097,0.1549427874695179,0.2228777122287771,False
2023_Australia_GP,10,10000,0,-0.0553136227868926,0.0024254836574743,0.0640686367903097,-0.1117601110812066,0.137431020246582,0.1928807119288071,False
2023_Australia_GP,20,10000,0,-0.0553136227868926,0.0015735254995484,0.0594955752200582,-0.1052309006309994,0.1277319031157764,0.1744825517448255,False
2023_Qatar_GP,1,10000,0,-0.0998374192444274,0.0006785444636741,0.094386631922387,-0.2059598682240191,0.1868972746331237,0.1338866113388661,False
2023_Qatar_GP,5,10000,0,-0.0998374192444274,0.0009259733384753,0.0873137216959782,-0.1559598682240191,0.1813417190775681,0.1288871112888711,False
2023_Qatar_GP,10,10000,0,-0.0998374192444274,-0.0007678386093816,0.0820335351352868,-0.1519916142557651,0.1654687032045522,0.1154884511548845,False
2023_Qatar_GP,20,10000,0,-0.0998374192444274,0.0037669031009096,0.0787221612153321,-0.141890604154755,0.1654687032045522,0.0928907109289071,False
2023_Singapore_GP,1,10000,0,-0.1551408987052553,0.0054451690234468,0.109180704269714,-0.1625483061126625,0.2754713461927041,0.0325967403259674,False
2023_Singapore_GP,5,10000,0,-0.1551408987052553,0.0023647376309066,0.0792153941176363,-0.1397562833206397,0.1679841012947441,0.0122987701229877,True
2023_Singapore_GP,10,10000,0,-0.1551408987052553,0.00153808399764,0.0711995920594858,-0.1301408987052551,0.1449552551408973,0.0064993500649935,True
2023_Singapore_GP,20,10000,0,-0.1551408987052553,-0.0002290737223654,0.066347833044808,-0.1255112690756255,0.1361634491208318,0.0050994900509949,True
2024_Bahrain_GP,1,10000,0,-0.1215056096200337,0.0076574695007331,0.1081614246748959,-0.1542713474941305,0.1986301369863013,0.1135886411358864,False
2024_Bahrain_GP,5,10000,0,-0.1215056096200337,0.000587767180433,0.0761322095847875,-0.1351610718049074,0.16151812619008,0.0414958504149585,False
2024_Bahrain_GP,10,10000,0,-0.1215056096200337,0.0001470149481167,0.0693857351491496,-0.1260941663542025,0.1459235842797486,0.0298970102989701,False
2024_Bahrain_GP,20,10000,0,-0.1215056096200337,0.0026847619462243,0.062805072256053,-0.1153558769997126,0.1326960710522354,0.0182981701829817,True
2024_SaoPaulo_GP,1,10000,0,-0.1538822425521934,0.0054477309688383,0.0798438748485957,-0.1303632328262869,0.1969286533697087,0.0105989401059894,True
2024_SaoPaulo_GP,5,10000,0,-0.1538822425521934,0.0028253373574975,0.0704407389081406,-0.1299358823989365,0.14388951442646,0.0088991100889911,True
2024_SaoPaulo_GP,10,10000,0,-0.1538822425521934,0.0020583649058324,0.0642089564049182,-0.1173096197726739,0.1311752287121745,0.004999500049995,True
2024_SaoPaulo_GP,20,10000,0,-0.1538822425521934,0.0030273511053036,0.0587827708381797,-0.1088392640414486,0.1224795765382615,0.0032996700329967,True
2024_Italy_GP,1,10000,0,-0.0946764813534508,0.003667315262479,0.1016860065063209,-0.2000320564192979,0.1775080505325736,0.1713828617138286,False
2024_Italy_GP,5,10000,0,-0.0946764813534508,0.0035983211249082,0.0750252730424343,-0.1381659306586488,0.1557785605104007,0.0915908409159084,False
2024_Italy_GP,10,10000,0,-0.0946764813534508,0.0048353361561017,0.069709723170486,-0.1267801141329494,0.1485518215763447,0.0722927707229277,False
2024_Italy_GP,20,10000,0,-0.0946764813534508,0.0051030491470755,0.0643351148403821,-0.1159984429739198,0.1373708292632769,0.0578942105789421,False
2024_LasVegas_GP,1,10000,0,-0.0556685556413633,0.0057112718349618,0.0797500748759448,-0.1623390150354749,0.1578145904260526,0.1999800019998,False
2024_LasVegas_GP,5,10000,0,-0.0556685556413633,0.0018389214563298,0.0599082910673772,-0.114070827526781,0.1203614069054533,0.1732826717328267,False
2024_LasVegas_GP,10,10000,0,-0.0556685556413633,0.0030697870811544,0.054120194217447,-0.0975873110432645,0.1126094689209572,0.1376862313768623,False
2024_LasVegas_GP,20,10000,0,-0.0556685556413633,0.0018791522976681,0.0496074400816555,-0.0910207069156848,0.1016348151451537,0.1231876812318768,False
2024_Qatar_GP,1,10000,0,-0.0706273620559336,0.0045704035681169,0.1270548476408836,-0.1955196962505932,0.2584972170686457,0.3233676632336766,False
2024_Qatar_GP,5,10000,0,-0.0706273620559336,0.0041637525618627,0.0830068017599922,-0.1456047784967645,0.1759613319011815,0.1927807219278072,False
2024_Qatar_GP,10,10000,0,-0.0706273620559336,0.0042298947408893,0.0745944001622197,-0.1298866213151927,0.1596028681742967,0.157984201579842,False
2024_Qatar_GP,20,10000,0,-0.0706273620559336,0.0063939163639778,0.0691358636917322,-0.1212145345943255,0.1496455424274973,0.1317868213178682,False
2025_Belgium_GP,1,10000,0,-0.0074441687344914,-0.002716720073437,0.1116121297231388,-0.2236418351723774,0.2154297315587637,0.4547545245475452,False
2025_Belgium_GP,5,10000,0,-0.0074441687344914,-0.0008230080283544,0.0856994625094886,-0.1633581472291149,0.1699751861042183,0.4726527347265273,False
2025_Belgium_GP,10,10000,0,-0.0074441687344914,-0.0015968579218501,0.0808170676574143,-0.1561117704175207,0.1601712645355908,0.4790520947905209,False
2025_Belgium_GP,20,10000,0,-0.0074441687344914,0.0003524957155284,0.0752917548194079,-0.1395486234195911,0.1507444168734491,0.4682531746825317,False
2025_Japan_GP,1,10000,0,-0.1074180563542266,0.0025384432495364,0.0922537784389285,-0.1361782720825273,0.2133291614518147,0.0948905109489051,False
2025_Japan_GP,5,10000,0,-0.1074180563542266,0.0002418144290899,0.0687802559899708,-0.1262825477414682,0.1407801418439716,0.0541945805419458,False
2025_Japan_GP,10,10000,0,-0.1074180563542266,0.0010462619023552,0.0640146059256041,-0.1176012684124385,0.1324468085106383,0.0401959804019598,False
2025_Japan_GP,20,10000,0,-0.1074180563542266,0.0008360336029891,0.0598825626309545,-0.1092198581560283,0.1225261735900033,0.0261973802619738,False
