Unnamed: 0,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47
H0,0.0,0.0244590780809031,0.4113639970076848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159903569047661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098849538312544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H1,0.3226580944631924,0.0242835828574368,0.0,0.0167990409111344,0.0,0.0,0.0,0.0027010154819377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094567414829866,0.0,0.0,0.0223069823301121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375746086286822,0.0236587525688793,0.0,0.0,0.0,0.0382218489640495,0.0058016359004156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2,0.0,0.0,0.0,0.0075279764444463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399218313791178,0.0,0.004818990391766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010657740480071,0.0,0.0,0.0191118871218913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,0.0,0.0,0.0260237275162648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224719101123595,0.0,0.0146771037181996,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113576333861595,0.0064400179721431,0.0126594700686947,0.0,0.0,0.0,0.1812973328943037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036208087034136,0.0,0.0,0.0,0.0,0.0,0.0
H6,0.0,0.0,0.0,0.4135042213497935,0.0,0.0,0.0,0.003469982427653,0.0,0.0,0.0,0.0036745406824146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030133873437731,0.0,0.0,0.0059606311577826,0.0,0.0,0.0,0.0,0.0058298994342347,0.0,0.0,0.0,0.0,0.039920376402461,0.0132290328269468,0.0,0.0,0.0,0.0,0.0,0.0160085910075644,0.0,0.0,0.0,0.0,0.0,0.0
H7,0.0124295085740591,0.0,0.0,0.2176845572866445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093572352392697,0.0,0.0,0.0,0.0,0.0,0.0,0.0094453190110195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108129755706848,0.0,0.0,0.0,0.0,0.024166395134137,0.0,0.0,0.0,0.0,0.0,0.0078888613247333,0.0,0.0,0.0,0.0,0.0,0.0
H8,0.0,0.0,0.0,0.0125776519472359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094542547779958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138089758342922,0.0130591482946264,0.0,0.0,0.0,0.0615679722789431,0.0,0.0
H9,0.0219136265143978,0.0,0.0,0.1039769743878959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011378002528445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016806102725274,0.0192334592250664,0.0,0.0,0.0,0.0,0.0,0.0,0.0664644107351225,0.0,0.0,0.0,0.0246498599439775,0.0196915926007349,0.1073903145952804,0.0,0.0,0.0,0.0,0.0,0.0106140826280902,0.0,0.0,0.0,0.0626597668183801,0.0,0.0
