mcs,is_primary,n_fr_clusters,n_above_within_ref,median_best_cosine,strategy_above_ref,strategy_median_cosine
40,True,48,27,0.9285372495651244,6,0.9337660074234008
30,False,65,28,0.9218307733535768,7,0.9252934455871582
35,False,53,27,0.9236468076705932,6,0.9300435781478882
45,False,43,25,0.9293548464775084,6,0.9330580234527588
50,False,38,26,0.9309372305870056,6,0.9323073625564576
