event_id,n_assigned_HIGHLIGHT,n_zero_parts_HIGHLIGHT,p_HIGHLIGHT_Race dynamics,p_HIGHLIGHT_Narrative & meta,p_HIGHLIGHT_Strategy & technical,p_HIGHLIGHT_Regulatory,n_assigned_FULL_RACE,n_zero_parts_FULL_RACE,p_FULL_RACE_Race dynamics,p_FULL_RACE_Narrative & meta,p_FULL_RACE_Strategy & technical,p_FULL_RACE_Regulatory,logit_S_HIGHLIGHT,logit_S_FULL_RACE,delta_logit_S,delta_raw_p_S,delta_clr_Race dynamics,delta_clr_Narrative & meta,delta_clr_Strategy & technical,delta_clr_Regulatory,delta_ilr_b1,delta_ilr_b2,delta_ilr_b3,delta_logratio_S_over_Race dynamics,delta_logratio_S_over_Narrative & meta,delta_logratio_S_over_Regulatory
2023_Australia_GP,65,0,0.5846153846153846,0.2307692307692307,0.123076923076923,0.0615384615384615,1777,0,0.4760832864378165,0.2605514912774339,0.1783905458638154,0.0849746764209341,-1.963609726154714,-1.5272899408251015,-0.4363197853296126,-0.0553136227868923,0.3578307403092475,0.031087087205061,-0.2186962920083597,-0.1702215355059486,-0.252528726123599,0.3489689766768077,0.1423466922302791,-0.5765270323176072,-0.2497833792134208,-0.0484747565024109
2023_Qatar_GP,49,0,0.4285714285714285,0.3469387755102041,0.1632653061224489,0.0612244897959183,954,0,0.3469601677148847,0.3144654088050314,0.2631027253668763,0.0754716981132075,-1.634130525024472,-1.0299039526788811,-0.6042265723455909,-0.0998374192444273,0.3054616363597398,0.1924884434133948,-0.3829538234385681,-0.1149962563345659,-0.4421969860989073,0.2177723287930782,0.2174245163028925,-0.6884154597983081,-0.575442266851963,-0.2679575671040024
2023_Singapore_GP,60,0,0.4666666666666667,0.3833333333333333,0.1,0.05,1313,0,0.4044173648134044,0.2856054836252856,0.2551408987052551,0.0548362528560548,-2.197224577336219,-1.071379138209751,-1.125845439126468,-0.1551408987052551,0.2910460424465034,0.4421717434719772,-0.7887675090837729,0.055549723165293,-0.9107902673950938,0.034444160668284,0.2733830523148992,-1.0798135515302765,-1.2309392525557503,-0.8443172322490659
2024_Bahrain_GP,68,1,0.4817257785467128,0.4087370242214533,0.1021842560553633,0.0073529411764705,949,0,0.4067439409905163,0.3319283456269757,0.2244467860906217,0.0368809272918862,-2.173187246768288,-1.239937953019451,-0.933249293748837,-0.1222625300352583,0.6747189640153065,0.7136806433632279,-0.2813332446404546,-1.1070663627380797,-0.3248556490503146,0.7115047746332752,1.2874625548393388,-0.9560522086557612,-0.9950138880036828,0.8257331180976248
2024_Italy_GP,67,0,0.5373134328358209,0.2835820895522388,0.1641791044776119,0.0149253731343283,1101,0,0.4141689373297003,0.3051771117166212,0.2588555858310626,0.0217983651226158,-1.6274564179367788,-1.0519251746954563,-0.5755312432413222,-0.0946764813534507,0.4220995763600402,0.0884012666215523,-0.2935204600519636,-0.2169803829296288,-0.3389282332473277,0.3971350653311409,0.2159374352475742,-0.7156200364120039,-0.3819217266735162,-0.0765400771223343
2024_LasVegas_GP,89,0,0.4943820224719101,0.3370786516853932,0.1573033707865168,0.0112359550561797,1033,0,0.3630203291384317,0.3891577928363988,0.2129719264278799,0.0348499515972894,-1.678430783921052,-1.307103563195449,-0.3713272207256028,-0.0556685556413631,0.6262836714984075,0.1737653565936914,0.0144498468134541,-0.8144988749055526,0.0166852458949933,0.7729368399630264,0.6988083396972273,-0.6118338246849533,-0.1593155097802371,0.828948721719007
2024_Qatar_GP,54,0,0.4444444444444444,0.2222222222222222,0.1481481481481481,0.1851851851851851,1225,0,0.4146938775510204,0.2506122448979592,0.2187755102040816,0.1159183673469387,-1.749199854809259,-1.2728164109420976,-0.4763834438671614,-0.0706273620559334,0.0623614123864557,-0.1271520681822049,-0.3967564092140287,0.4615470650097768,-0.4581348393248572,-0.0855983057991599,-0.4162731491586928,-0.4591178216004844,-0.2696043410318239,-0.8583034742238056
2024_SaoPaulo_GP,87,0,0.4942528735632184,0.264367816091954,0.1149425287356321,0.1264367816091954,1421,0,0.366643209007741,0.2864180154820548,0.2688247712878254,0.0781140042223786,-2.0412203288596382,-1.0005933824926525,-1.0406269463669855,-0.1538822425521932,0.3360349088651311,-0.0427341345885095,-0.812250680687594,0.5189499064109724,-0.9379062982888782,0.07995707942229,-0.3971705942749963,-1.148285589552725,-0.7695165460990842,-1.331200587098566
2025_Belgium_GP,62,0,0.3064516129032258,0.3064516129032258,0.3225806451612903,0.064516129032258,1612,0,0.3480148883374689,0.2735732009925558,0.3300248138957816,0.0483870967741935,-0.7419373447293774,-0.708072830776621,-0.0338645139527564,-0.0074441687344913,-0.1899785503577518,0.0506974797180983,-0.0856078397891493,0.2248889104288032,-0.0988514186940155,-0.2676245094692899,-0.123171941880126,0.1043707105686023,-0.1363053195072478,-0.3104967502179525
2025_Japan_GP,74,0,0.4189189189189189,0.4189189189189189,0.1351351351351351,0.027027027027027,1175,0,0.4280851063829787,0.3046808510638298,0.2425531914893617,0.0246808510638297,-1.8562979903656265,-1.138732282457535,-0.7175657079080913,-0.1074180563542265,0.027697405443227,0.3677545891422658,-0.5356037162167846,0.1401517216312913,-0.6184618994734485,-0.1847370462441482,0.1609395310345132,-0.5633011216600117,-0.9033583053590506,-0.6757554378480759
