event_id,domain,metric,H_r,F_r,observed_effect,null_mean,null_sd,null_p2.5,null_p50,null_p97.5,p_one_sided_depletion,p_one_sided_enrichment,p_two_sided,z_vs_null,outside_central_95,below_null_p2.5
2023_Australia_GP,Race dynamics,assigned,68,2466,0.1085320981775673,3.836663076332984e-05,0.0707669290380019,-0.1364606449283826,0.0021775831274008,0.1393013289467988,0.9375062493750624,0.0625937406259374,0.1251874812518748,1.5331134616360524,False,False
2023_Australia_GP,Narrative & meta,assigned,68,2466,-0.0297822605082033,0.0001617330903503,0.0615848616534759,-0.1147181579441005,-0.0005514912774338,0.1240638933379507,0.3183681631836816,0.6817318268173183,0.6367363263673632,-0.4862232827125894,False,False
2023_Australia_GP,Strategy & technical,assigned,68,2466,-0.0553136227868926,0.0008397591421614,0.0538003084531795,-0.0967578928025909,-0.0006127680860376,0.110070992597723,0.153984601539846,0.8461153884611539,0.307969203079692,-1.0437371744424546,False,False
2023_Australia_GP,Regulatory,assigned,68,2466,-0.0234362148824727,-0.0010398588632751,0.039053112607084,-0.0657439071901649,-0.0033420233597096,0.0816919902457325,0.3113688631136886,0.6887311268873113,0.6227377262273772,-0.5734845323221428,False,False
2023_Australia_GP,Race dynamics,all,68,2466,0.2157578359811071,0.0001490124516959,0.0566377606429834,-0.1077715757835981,-0.0048303993130098,0.1128166595105195,0.999900009999,0.0001999800019998,0.0003999600039996,3.806803466127534,True,False
2023_Australia_GP,Narrative & meta,all,68,2466,0.0328347884165829,0.0001803766518772,0.0463052513358976,-0.0848122704069462,0.0034230237107008,0.0916583178283478,0.7123287671232876,0.2877712228777122,0.5755424457554245,0.7051988883038558,False,False
2023_Australia_GP,Strategy & technical,all,68,2466,-0.0109011974619533,0.0006738025380468,0.0398719530863705,-0.0697247268737178,0.003804684890988,0.0773340966556939,0.3305669433056694,0.6695330466953304,0.6611338866113389,-0.2903043142864479,False,False
2023_Australia_GP,Regulatory,all,68,2466,-0.002409236200563,-0.0006989420829158,0.0284897754718517,-0.0465268832593864,-0.0024092362005629,0.0564142932112017,0.3988601139886011,0.6012398760123988,0.7977202279772023,-0.0600318566686128,False,False
2023_Qatar_GP,Race dynamics,assigned,50,1336,0.0816112608565435,-0.0012042934060334,0.0786638090149075,-0.1525157232704402,-0.0041030248577418,0.1530398322851153,0.8452154784521548,0.1548845115488451,0.3097690230976902,1.0527783398701516,False,False
2023_Qatar_GP,Narrative & meta,assigned,50,1336,0.0324733667051723,0.0012975444532608,0.0776606023880596,-0.14303683737646,-0.0001796945193171,0.1577568134171907,0.6655334466553344,0.3345665433456654,0.6691330866913309,0.4014367812411506,False,False
2023_Qatar_GP,Strategy & technical,assigned,50,1336,-0.0998374192444274,-0.0007259236679283,0.0727610413651373,-0.1348975971617481,-0.0011979634621143,0.1471536848895339,0.0866913308669133,0.9134086591340866,0.1733826617338266,-1.3621505920885195,False,False
2023_Qatar_GP,Regulatory,assigned,50,1336,-0.0142472083172892,0.000632672620701,0.0438490319082104,-0.0754716981132075,-0.0004716981132075,0.0959568733153638,0.4407559244075592,0.5593440655934406,0.8815118488151185,-0.3393434310964595,False,False
2023_Qatar_GP,Race dynamics,all,50,1336,0.1722455089820359,-0.001380491017964,0.0598973362770775,-0.107754491017964,-0.007754491017964,0.1122455089820359,0.9983001699830018,0.0017998200179982,0.0035996400359964,2.898726567686216,True,False
2023_Qatar_GP,Narrative & meta,all,50,1336,0.1154491017964072,0.0003731017964071,0.0583679270275255,-0.1045508982035928,-0.0045508982035928,0.1154491017964072,0.9791020897910208,0.0420957904209579,0.0841915808419158,1.971562223646073,False,False
2023_Qatar_GP,Strategy & technical,all,50,1336,-0.0278742514970059,-0.0008342514970059,0.0546166338917894,-0.1078742514970059,-0.0078742514970059,0.112125748502994,0.3875612438756124,0.7463253674632536,0.7751224877512248,-0.4950872668860123,False,False
2023_Qatar_GP,Regulatory,all,50,1336,0.0061077844311377,0.0003897844311377,0.0315899393545926,-0.0538922155688622,0.0061077844311377,0.0661077844311377,0.7090290970902909,0.515948405159484,1.0,0.1810069951643858,False,False
2023_Singapore_GP,Race dynamics,assigned,60,1635,0.0622493018532617,-0.0003738459610145,0.069034476466141,-0.1351865955826351,-0.0001620456644682,0.1355826351865956,0.8133186681331867,0.1867813218678132,0.3735626437356264,0.9071285974768092,False,False
2023_Singapore_GP,Narrative & meta,assigned,60,1635,0.0977278497080474,0.0001041284133102,0.0634622002165516,-0.1189388169586189,-0.0012389068058785,0.1274379946355839,0.9362063793620636,0.0638936106389361,0.1277872212778722,1.538297143206767,False,False
2023_Singapore_GP,Strategy & technical,assigned,60,1635,-0.1551408987052553,0.0004051868250558,0.0611391773680893,-0.1151408987052551,-0.0002389379209414,0.1248591012947448,0.0028997100289971,0.9972002799720028,0.0057994200579942,-2.544131148409857,True,True
2023_Singapore_GP,Regulatory,assigned,60,1635,-0.0048362528560549,-0.0001354692773515,0.0325530014775388,-0.0548362528560548,-0.0012648242846262,0.0701637471439451,0.497950204979502,0.5021497850214979,0.995900409959004,-0.1444039985666727,False,False
