fr_cluster,size,n_enriched,top_terms,races_present,mean_cosine_to_centroid,representative_1_sha1,representative_2_sha1,representative_3_sha1
30,152,24,"seconds, second, gap, tenths, quicker, half, tenths second, seconds away, gap seconds, second away, seconds ahead, away, seconds quicker, half second, ahead",10,0.717582643032074,c921296b9d6e3736,f80e66e73a1f6877,e0b9fe259f74de80
31,137,21,"gap, seconds, tenths, tenths second, gap seconds, second, separated, second gap, gaps, separated tenths, gap half, gap just, half, local time, local",10,0.6011124849319458,d750f0cc79cd11ea,3850dcc0f234ad5b,a903d20ca1689839
32,48,8,"points, going points, way points, point, point currently, couple points, points year, currently",9,0.6787378191947937,c9daca34e0a9c826,abffcc0e72f9f8c0,6d84d8411f52b8b2
33,44,10,"constructors, championship, constructors championship, win constructors, points, position win, stands, championship year, context, crown",9,0.7001546621322632,1a25c99e5fc3e211,f84591d96a87cf77,f8ebee552d825537
34,57,12,"win, wins, winner, won, win number, fourth, win year, history, title, win row, 10 points, going win",10,0.6958644390106201,dee47bf73fe99e06,3021a75c40a1123b,f375bd0a09e5df8b
35,89,35,"world, champion, world champion, time world, time, championship, world championship, seven time, time champion, seven, got world, time winner, title, win, winner circuit",10,0.6726104617118835,4cfd536a1087f677,e4eafe2b23717257,a4b7f529d9ff5826
36,258,35,"fifth, place, position, sixth, seventh, fourth, ninth, eighth, 7th, fifth place, 10th, 14th, ninth position, 11th, fifth sixth",10,0.6585182547569275,31be2a41332be820,85e0b9e07b8e2bcb,9a1230de0f703400
37,47,6,"position, eighth, fourth, eighth position, eighth place, fourth position",10,0.6780449151992798,1653e80f8c8220af,87f2f162ef0b2831,9ee118ea0313d810
38,49,11,"drive, great drive, great, drives, sensational, brilliant drive, drive unrewarded, charging drive, unrewarded, going great, brilliance",10,0.6717563271522522,10205bf485cd5751,afae4da222f447f9,764d5cf493bc6556
39,44,6,"gravel, bit gravel, gravel trap, trap, wheel gravel, goes",8,0.6757074594497681,0074b57c902f3c62,e63e15895a2a17ad,bd65051eccad62b4
40,51,7,"racetrack, sector racetrack, sector, philando, section racetrack, middle sector, corners racetrack",10,0.7221071720123291,2cbb54fb509f9d4b,17244f1773f5dda4,1c46d2c0f3e9c5ab
41,732,75,"race, race leader, races, leader, lap race, race control, race pace, racing, race lead, control, fastest, fastest lap, win race, pace, start race",10,0.6425204277038574,c5ac69f41da93694,831afe56c2b11e98,cbc09f4f6e22adc3
42,171,24,"laps, couple laps, couple, laps time, 18 laps, 15 laps, 18, 12 laps, 15, miles, seven laps, 53, laps ago, 40 laps, final laps",10,0.7025088667869568,b9b5c0f21919c00b,5705d603c6c55ee7,b8eff85b98809388
43,108,28,"brakes, wheel, steering, brake, steering wheel, braking, wheel wheel, went wheel, brave brakes, late, brakes right, brakes turn, committed, brave, pedal",10,0.6040225028991699,49b33edd66c7de84,74cdcdcf91e983d0,b2f34e6a99f4821f
44,118,25,"safety, safety car, car, car infringement, car lights, safety cars, infringement, need safety, starting safety, finished safety, finish safety, race starting, going safety, choose, yeah safety",10,0.6707955598831177,f94b8f7f80ce78db,0a27edabf636ecb8,26b3f82b8c5cfe0c
45,270,25,"driver, drivers, nation driver, drivers championship, championship, nation, world, driver championship, driver ahead, champion driver, teams drivers, drivers world, champion, think drivers, world championship",10,0.645866870880127,a7210f62f63d55f6,7d0de4c349077b62,8ce9e19ddc7d79c7
46,69,10,"cars, car, ve got, ve, know just, engine, conditions, feeling car, multiple cars, confidence",10,0.6100200414657593,5718e7d9422d9954,9671cb5919ed6bae,179799fbb2224414
47,82,8,"car, car ahead, cars, pass car, smart, trying understand, pass, parking",10,0.6534340381622314,b45ca6ee7fa0d2d2,4cf942ecead8a50e,2c56d185da229c6b
