mcs,n_seeds,viable_seeds,failed_seeds,degenerate_seeds,n_clusters_ref,n_clusters_min,n_clusters_median,n_clusters_max,noise_min,noise_median,noise_max,ari_median,ari_min,hungarian_median,hungarian_min
40,20,20,0,0,48,46,49.5,55,0.3169589950225172,0.3733704669352927,0.3965394643280398,0.611471452549456,0.561299117588063,0.7537055928350291,0.6921052445436883
125,20,18,0,2,16,3,17.0,19,0.0022517184166864,0.4123014932448448,0.4672908272102394,0.6848497469497318,0.0133468597991101,0.8319123387769036,0.6893725385886306
150,20,18,0,2,16,3,15.0,17,0.0022517184166864,0.3727186537094098,0.457217350082958,0.7037387149926485,0.0222130195239976,0.8614163241718004,0.6908390985102321
