race,n,observed_pct,ci_lo_pct,ci_hi_pct,ci_width
2023_australia,2466,72.06001622060016,70.27575020275751,73.84428223844283,3.5685320356853225
2023_qatar,1336,71.40718562874252,68.937125748503,73.80239520958084,4.865269461077844
2023_singapore,1635,80.30581039755351,78.2874617737003,82.26299694189603,3.9755351681957336
2024_bahrain,1322,71.78517397881997,69.28895612708018,74.20574886535553,4.916792738275348
2024_brazil,1905,74.59317585301837,72.6509186351706,76.53543307086615,3.88451443569555
2024_italy,1458,75.51440329218107,73.25102880658436,77.70919067215364,4.458161865569281
2024_lasvegas,1344,76.86011904761905,74.55357142857143,79.09226190476191,4.538690476190482
2024_qatar,1631,75.10729613733905,73.0226854690374,77.19190680564071,4.169221336603314
2025_belgium,2232,72.22222222222221,70.3405017921147,74.10394265232975,3.7634408602150557
2025_japan,1547,75.95345830639948,73.82029734970912,78.08661926308986,4.266321913380736
POOLED,16876,74.42521924626688,73.76155487082247,75.08295804693054,1.3214031761080776
