pair_id,event_id,threshold,category_id,category_name,register,n_category,n_total,n_assigned,p_all,p_assigned
P05,2024_SaoPaulo_GP,0.35,1,Time penalties,FULL_RACE,32,1905,1580,0.01679790026246719,0.020253164556962026
P05,2024_SaoPaulo_GP,0.35,2,Lights-out race starts,FULL_RACE,22,1905,1580,0.011548556430446194,0.013924050632911392
P05,2024_SaoPaulo_GP,0.35,3,Mirror checks defending,FULL_RACE,3,1905,1580,0.0015748031496062992,0.0018987341772151898
P05,2024_SaoPaulo_GP,0.35,4,Race start launch,FULL_RACE,7,1905,1580,0.003674540682414698,0.004430379746835443
P05,2024_SaoPaulo_GP,0.35,5,Weather conditions,FULL_RACE,145,1905,1580,0.07611548556430446,0.09177215189873418
P05,2024_SaoPaulo_GP,0.35,6,Grand Prix wins,FULL_RACE,87,1905,1580,0.04566929133858268,0.05506329113924051
P05,2024_SaoPaulo_GP,0.35,7,Race start lights,FULL_RACE,19,1905,1580,0.009973753280839895,0.012025316455696202
P05,2024_SaoPaulo_GP,0.35,8,Race control flags,FULL_RACE,34,1905,1580,0.01784776902887139,0.021518987341772152
P05,2024_SaoPaulo_GP,0.35,9,Formula 1 milestones,FULL_RACE,30,1905,1580,0.015748031496062992,0.0189873417721519
P05,2024_SaoPaulo_GP,0.35,10,Chicane moves,FULL_RACE,0,1905,1580,0.0,0.0
P05,2024_SaoPaulo_GP,0.35,11,Team radio celebrations,FULL_RACE,37,1905,1580,0.01942257217847769,0.02341772151898734
P05,2024_SaoPaulo_GP,0.35,12,Podium finishes,FULL_RACE,34,1905,1580,0.01784776902887139,0.021518987341772152
P05,2024_SaoPaulo_GP,0.35,13,Championship & title,FULL_RACE,77,1905,1580,0.04041994750656168,0.048734177215189876
P05,2024_SaoPaulo_GP,0.35,14,Pit stops,FULL_RACE,31,1905,1580,0.01627296587926509,0.019620253164556962
P05,2024_SaoPaulo_GP,0.35,15,Tires & compounds,FULL_RACE,68,1905,1580,0.03569553805774278,0.043037974683544304
P05,2024_SaoPaulo_GP,0.35,16,Safety car deployment,FULL_RACE,52,1905,1580,0.027296587926509186,0.03291139240506329
P05,2024_SaoPaulo_GP,0.35,17,Gap & pace,FULL_RACE,55,1905,1580,0.028871391076115485,0.03481012658227848
P05,2024_SaoPaulo_GP,0.35,18,Team dynamics,FULL_RACE,104,1905,1580,0.05459317585301837,0.06582278481012659
P05,2024_SaoPaulo_GP,0.35,19,Race lead holding,FULL_RACE,11,1905,1580,0.005774278215223097,0.006962025316455696
P05,2024_SaoPaulo_GP,0.35,20,Wing & car damage,FULL_RACE,26,1905,1580,0.013648293963254593,0.016455696202531647
P05,2024_SaoPaulo_GP,0.35,21,Braking & lockups,FULL_RACE,60,1905,1580,0.031496062992125984,0.0379746835443038
