event_id,threshold,category_id,delta_all,delta_assigned
2023_Australia_GP,0.35,0,0.0038643194504079,-0.0016048699501936894
2023_Australia_GP,0.35,1,-0.00851581508515815,-0.01079136690647482
2023_Australia_GP,0.35,2,-0.0072992700729927005,-0.009249743062692703
2023_Australia_GP,0.35,3,0.009028672296169077,0.008190370780298838
2023_Australia_GP,0.35,4,-0.0032441200324412004,-0.0041109969167523125
2023_Australia_GP,0.35,5,-0.006488240064882401,-0.008221993833504625
2023_Australia_GP,0.35,6,0.04200658365535996,0.03372598624397186
2023_Australia_GP,0.35,7,-0.0052716950527169504,-0.006680369989722507
2023_Australia_GP,0.35,8,0.008730499499069701,0.004561625424934778
2023_Australia_GP,0.35,9,0.0021349172272315253,-0.0005454976677998248
2023_Australia_GP,0.35,10,-0.0024330900243309003,-0.003083247687564234
2023_Australia_GP,0.35,11,-0.01824817518248175,-0.023124357656731757
2023_Australia_GP,0.35,12,-0.019059205190592052,-0.024152106885919837
2023_Australia_GP,0.35,13,-0.017329802967415677,-0.025211479168313698
2023_Australia_GP,0.35,14,-0.003542292829540574,-0.007739742272116372
2023_Australia_GP,0.35,15,-0.032441200324412,-0.041109969167523124
2023_Australia_GP,0.35,16,-0.007490100663136302,-0.015993359158826784
2023_Australia_GP,0.35,17,-0.012869137922809026,-0.019558858407779267
2023_Australia_GP,0.35,18,-0.01549305853728352,-0.029385722191477587
2023_Australia_GP,0.35,19,0.007406612279948476,0.0061348723219226825
2023_Australia_GP,0.35,20,0.014813224559896952,0.012269744643845365
2023_Australia_GP,0.35,21,0.0010257144220218485,-0.005201992252351961
2023_Australia_GP,0.35,22,0.03438528696149993,0.03382085540358922
2023_Australia_GP,0.35,23,0.023841896856066032,0.020460115424144203
2023_Australia_GP,0.35,24,0.03976432422117265,0.037386354652541705
2023_Australia_GP,0.35,25,0.03611468918467631,0.03276148312119535
2023_Australia_GP,0.35,26,0.027897046896617532,0.025598861570084595
2023_Australia_GP,0.35,27,0.04619292972663519,0.022776504071468112
2023_Australia_GP,0.35,28,0.02465292686417633,0.021487864653332283
2023_Australia_GP,0.35,29,0.04787462430227565,0.04766384694442249
2023_Australia_GP,0.35,30,-0.025547445255474453,-0.03237410071942446
2023_Australia_GP,0.35,31,-0.02300701302418778,-0.03240572377263025
2023_Australia_GP,0.35,32,0.010758074519345451,0.007130998497904974
2023_Australia_GP,0.35,33,-0.005462525642860552,-0.013423986085856585
2023_Australia_GP,0.4,0,0.004269834454463051,-0.004121033721483917
2023_Australia_GP,0.4,1,-0.007704785077047851,-0.010692177827799663
2023_Australia_GP,0.4,2,-0.0036496350364963502,-0.005064715813168261
2023_Australia_GP,0.4,3,0.010245217308334525,0.009194407168520845
2023_Australia_GP,0.4,4,-0.0032441200324412004,-0.004501969611705121
2023_Australia_GP,0.4,5,-0.0036496350364963502,-0.005064715813168261
2023_Australia_GP,0.4,6,0.04322312866752541,0.029842863945283758
2023_Australia_GP,0.4,7,-0.0040551500405515,-0.005627462014631401
2023_Australia_GP,0.4,8,0.008730499499069701,0.0020691744946106233
2023_Australia_GP,0.4,9,0.0021349172272315253,-0.0020605168607419587
2023_Australia_GP,0.4,10,-0.0024330900243309003,-0.0033764772087788407
2023_Australia_GP,0.4,11,-0.010948905109489052,-0.015194147439504783
2023_Australia_GP,0.4,12,-0.017437145174371452,-0.024198086662915026
2023_Australia_GP,0.4,13,-0.009625017890367828,-0.01838015670317302
2023_Australia_GP,0.4,14,-0.003136777825485427,-0.00937621747976278
2023_Australia_GP,0.4,15,-0.031630170316301706,-0.04389420371412493
2023_Australia_GP,0.4,16,-0.0034349506225848023,-0.014813211549283577
2023_Australia_GP,0.4,17,-0.009219502886312677,-0.01781741050170988
2023_Australia_GP,0.4,18,-0.011843423500787174,-0.031505129648067176
2023_Australia_GP,0.4,19,0.007406612279948476,0.005255183758278863
2023_Australia_GP,0.4,20,0.02049043461666905,0.01838881433704169
2023_Australia_GP,0.4,21,0.005486379466628499,-0.0024327951170944953
2023_Australia_GP,0.4,22,0.03438528696149993,0.032647937318730794
2023_Australia_GP,0.4,23,0.02424741186012118,0.01857928228215229
2023_Australia_GP,0.4,24,0.040575354229282955,0.03621488247262024
2023_Australia_GP,0.4,25,0.037331234196841756,0.03171291286091511
2023_Australia_GP,0.4,26,0.031546681933113885,0.028708713908488812
2023_Australia_GP,0.4,27,0.04862601975096609,0.01222457902255314
2023_Australia_GP,0.4,28,0.02749153189256238,0.023081251893857412
2023_Australia_GP,0.4,29,0.049902199322551404,0.04915804510627246
2023_Australia_GP,0.4,30,-0.024330900243309004,-0.03376477208778841
2023_Australia_GP,0.4,31,-0.02300701302418778,-0.036950781351456644
2023_Australia_GP,0.4,32,0.01238013453556605,0.007133890307778886
2023_Australia_GP,0.4,33,-0.0038404656266399495,-0.015375957750746717
2023_Australia_GP,0.45,0,0.004269834454463051,-0.007787983161117486
2023_Australia_GP,0.45,1,-0.007704785077047851,-0.01181592039800995
2023_Australia_GP,0.45,2,-0.0024330900243309003,-0.0037313432835820895
2023_Australia_GP,0.45,3,0.011056247316444827,0.009787600459242252
2023_Australia_GP,0.45,4,-0.00283860502838605,-0.004353233830845771
2023_Australia_GP,0.45,5,-0.0024330900243309003,-0.0037313432835820895
2023_Australia_GP,0.45,6,0.04403415867563571,0.024521622655951023
2023_Australia_GP,0.45,7,-0.0032441200324412004,-0.004975124378109453
2023_Australia_GP,0.45,8,0.009136014503124852,-0.00032529659395330937
2023_Australia_GP,0.45,9,0.002945947235341825,-0.002650210486031382
2023_Australia_GP,0.45,10,-0.00202757502027575,-0.003109452736318408
2023_Australia_GP,0.45,11,-0.006893755068937551,-0.010572139303482588
2023_Australia_GP,0.45,12,-0.01662611516626115,-0.025497512437810944
2023_Australia_GP,0.45,13,-0.004758837841706026,-0.01446613088404133
2023_Australia_GP,0.45,14,-0.0019202328133199748,-0.010112897053195558
2023_Australia_GP,0.45,15,-0.030413625304136254,-0.04664179104477612
2023_Australia_GP,0.45,16,-0.00019083059014360013,-0.014628779181017987
2023_Australia_GP,0.45,17,-0.0023257478173751255,-0.01073478760045924
2023_Australia_GP,0.45,18,-0.008599303468345976,-0.03469192499043246
2023_Australia_GP,0.45,19,0.008217642288058775,0.00543436662839648
2023_Australia_GP,0.45,20,0.021301464624779352,0.01833141982395714
2023_Australia_GP,0.45,21,0.011163589523400602,0.0027841561423650983
2023_Australia_GP,0.45,22,0.03519631696961023,0.03247225411404516
2023_Australia_GP,0.45,23,0.02708601688850723,0.02003444316877153
2023_Australia_GP,0.45,24,0.042602929249558705,0.03666283964791428
2023_Australia_GP,0.45,25,0.0393588092171175,0.03168771526980482
2023_Australia_GP,0.45,26,0.03357425695338963,0.029984691924990436
2023_Australia_GP,0.45,27,0.05592528982395879,0.006917336394948348
2023_Australia_GP,0.45,28,0.030735651925003583,0.025631458094144664
2023_Australia_GP,0.45,29,0.049902199322551404,0.04785686949866055
2023_Australia_GP,0.45,30,-0.022303325223033254,-0.034203980099502485
2023_Australia_GP,0.45,31,-0.02219598301607748,-0.04120742441637964
2023_Australia_GP,0.45,32,0.0144077095558418,0.007759280520474553
2023_Australia_GP,0.45,33,-0.00019083059014360013,-0.014628779181017987
2023_Qatar_GP,0.35,0,-0.0029940119760479044,-0.0038240917782026767
2023_Qatar_GP,0.35,1,0.006317365269461077,-0.0030210325047801134
2023_Qatar_GP,0.35,2,-0.004491017964071856,-0.0057361376673040155
2023_Qatar_GP,0.35,3,0.016257485029940122,0.015219885277246655
2023_Qatar_GP,0.35,4,0.018502994011976047,0.01808795411089866
2023_Qatar_GP,0.35,5,0.01251497005988024,0.010439770554493308
2023_Qatar_GP,0.35,6,0.019371257485029943,0.002562141491395789
2023_Qatar_GP,0.35,7,-0.002245508982035928,-0.0028680688336520078
2023_Qatar_GP,0.35,8,-0.010479041916167664,-0.01338432122370937
2023_Qatar_GP,0.35,9,0.003532934131736526,-0.0010325047801147229
2023_Qatar_GP,0.35,10,0.0,0.0
2023_Qatar_GP,0.35,11,0.002784431137724551,-0.0019885277246653905
2023_Qatar_GP,0.35,12,0.006526946107784431,0.0027915869980879547
