,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47
H10,0.4293059,0.9183681,0.39607474,0.39320403,0.45693552,0.35411376,0.2342344,0.5733813,0.41059494,0.38043636,0.324416,0.4500587,0.3417067,0.40617132,0.4423315,0.28129065,0.47999,0.4123156,0.33575407,0.37328365,0.26757744,0.50083005,0.16422492,0.39784718,0.5088843,0.44340783,0.54460764,0.6032938,0.48461446,0.37506926,0.5457639,0.36385822,0.47131905,0.3015736,0.421058,0.31102967,0.51778543,0.3210894,0.4203021,0.52391875,0.52664036,0.4609301,0.40858638,0.5792227,0.44718164,0.45982373,0.3776497,0.60277086
H11,0.26107228,0.27206415,0.2238855,0.3903219,0.29849586,0.34002563,0.16176152,0.28817138,0.32074872,0.21893278,0.44512397,0.28241724,0.29584557,0.3004579,0.28712437,0.17360136,0.3667192,0.31547868,0.35853404,0.28455865,0.77529263,0.3427741,0.4105541,0.4470654,0.22569942,0.23578607,0.21675403,0.2870945,0.3840444,0.42475104,0.22840637,0.21615706,0.34894028,0.35094047,0.42457956,0.355624,0.33471012,0.2009201,0.48725063,0.218379,0.30005136,0.39374673,0.38846722,0.3390482,0.31446812,0.38755563,0.32815433,0.27063507
H12,0.5007558,0.36826843,0.36354294,0.5910003,0.57275766,0.592834,0.16462472,0.53018045,0.43364334,0.38559365,0.5473217,0.62660784,0.34005553,0.29200044,0.36793482,0.28168195,0.44785136,0.38790038,0.2794024,0.43461913,0.29244047,0.5216183,0.27319092,0.3773715,0.39259917,0.45351553,0.54831785,0.58028567,0.5713227,0.9432529,0.5628073,0.3507255,0.57087743,0.5011387,0.7352717,0.65454197,0.67598486,0.51293343,0.35128984,0.27287477,0.5477657,0.6080289,0.49883315,0.4183979,0.3762204,0.4976485,0.2743786,0.4734326
H13,0.5275681,0.3491116,0.29999542,0.5763439,0.5510695,0.4598395,0.2236493,0.47366655,0.49096417,0.26513642,0.6150696,0.53091294,0.3139265,0.32135648,0.35635766,0.41260335,0.37408772,0.36640364,0.28837538,0.5353892,0.2416197,0.49260443,0.49523264,0.4821928,0.33653077,0.46929157,0.515629,0.46208817,0.65500987,0.71422315,0.45609045,0.3572687,0.5422616,0.80123556,0.8436284,0.9084796,0.62151957,0.5520673,0.3501979,0.26057383,0.47150204,0.5947473,0.50643843,0.34284258,0.32817224,0.5370445,0.26532498,0.3582309
H14,0.50671697,0.53089553,0.48011327,0.5245342,0.54322624,0.5096711,0.31979197,0.96995795,0.45230222,0.4448588,0.4607892,0.50808084,0.4141141,0.493029,0.49317855,0.34197095,0.46820796,0.4381898,0.4179942,0.44635555,0.25411272,0.5458122,0.2569375,0.44751775,0.547951,0.51962733,0.5923656,0.61867154,0.59252506,0.48470688,0.60221934,0.44270673,0.51033485,0.38800257,0.49102062,0.3983026,0.5605031,0.39685416,0.4333226,0.54678047,0.63375276,0.5873941,0.521721,0.5904202,0.5225556,0.56941503,0.41437042,0.610389
H15,0.41865855,0.4992702,0.4280022,0.55326533,0.44709164,0.36234486,0.40824473,0.6040377,0.4861492,0.31229728,0.45397872,0.35755056,0.33306482,0.9613708,0.38935155,0.32775107,0.282341,0.42239624,0.4364441,0.28296995,0.22094429,0.56221443,0.25219765,0.38981333,0.49502096,0.45608753,0.33732474,0.39922464,0.4112727,0.34653553,0.41590607,0.3736071,0.39402628,0.3237472,0.38001257,0.3452511,0.40182096,0.34627792,0.4856349,0.63366103,0.6233425,0.5549151,0.5894686,0.7398797,0.5690893,0.6766386,0.60435766,0.6565151
H16,0.502103,0.47981,0.40220237,0.5601469,0.39311212,0.35333025,0.2134871,0.6104249,0.47330946,0.3446575,0.3980952,0.3545547,0.44037086,0.5401746,0.54420453,0.30589804,0.370395,0.45881453,0.4441148,0.31328478,0.25005418,0.5466137,0.20897754,0.42310798,0.45709887,0.3724765,0.35863763,0.4123159,0.41244853,0.3935726,0.40520442,0.35623866,0.33275145,0.32048774,0.35423875,0.26735267,0.34980148,0.23573276,0.5361624,0.5086974,0.5913509,0.58264875,0.5743948,0.65462315,0.9542562,0.66848826,0.7210617,0.75689006
H17,0.5496367,0.4506445,0.41920596,0.42286277,0.45775968,0.4044996,0.27325064,0.54762113,0.4534368,0.351465,0.4102682,0.4790637,0.3921731,0.37492,0.37883636,0.28105778,0.4006385,0.42331982,0.3607151,0.40393066,0.26361442,0.6180365,0.26654136,0.4332381,0.47059685,0.40736926,0.4606542,0.5318581,0.5274727,0.41561875,0.8949772,0.8550433,0.49750936,0.370548,0.45317832,0.3954031,0.6070515,0.41568375,0.38552636,0.4022054,0.5086063,0.5402554,0.52914953,0.49056327,0.4052043,0.4537589,0.39056796,0.4667626
H18,0.54971266,0.42283672,0.4425196,0.39329264,0.58791554,0.55205286,0.3283916,0.6178156,0.44072485,0.42079407,0.48426694,0.6091001,0.4470344,0.3444575,0.43858668,0.42897522,0.52468276,0.4833715,0.32652438,0.4614029,0.34196234,0.5431705,0.34600168,0.47497633,0.49615192,0.44124633,0.7229606,0.76947105,0.948081,0.5277579,0.6726861,0.3868968,0.6313913,0.5650351,0.6739975,0.51297563,0.71545315,0.4352309,0.40297428,0.4188938,0.4545739,0.49358946,0.39259863,0.53650355,0.41792732,0.53218687,0.27899444,0.52914137
H19,0.42027825,0.35159898,0.36636564,0.29861018,0.5053173,0.38487238,0.2428543,0.47822762,0.39755195,0.33212167,0.29118574,0.54949355,0.35854036,0.29466653,0.3492626,0.35232496,0.42771357,0.4230671,0.20864606,0.33885682,0.3031385,0.41690123,0.16743144,0.35082117,0.36015153,0.36538944,0.6625254,0.76330435,0.6593424,0.45433325,0.6475979,0.30837482,0.6531241,0.3587544,0.62309647,0.38510677,0.7003386,0.34153008,0.39976904,0.35106856,0.44974905,0.45288062,0.2496058,0.45439672,0.35129297,0.40424442,0.19965477,0.5142363
H20,0.5112917,0.44040948,0.4388796,0.3480143,0.4647724,0.44540188,0.34643233,0.5079235,0.39414865,0.3546942,0.36958605,0.530908,0.4010021,0.43670106,0.46212515,0.3245338,0.35506254,0.4539264,0.39016277,0.39756587,0.23518178,0.4792754,0.23560536,0.43726793,0.57006145,0.5160019,0.5554772,0.5177655,0.5121004,0.37190926,0.43491393,0.3474524,0.40309024,0.30796966,0.36759466,0.31864977,0.40991145,0.368285,0.40320915,0.49998397,0.40867764,0.37755197,0.3591654,0.5840172,0.5022268,0.49847567,0.34471807,0.54384476
H21,0.5790178,0.5451447,0.4407203,0.4787327,0.47299078,0.40352276,0.25814044,0.6156883,0.5199355,0.35813165,0.4586863,0.51335555,0.41643116,0.6124551,0.43557876,0.31167945,0.39131784,0.46415552,0.4163622,0.3081317,0.24696633,0.6144795,0.21460396,0.40911514,0.63620305,0.5514549,0.48628724,0.53487647,0.46110755,0.386985,0.5518348,0.44469267,0.40492728,0.24224402,0.37111747,0.3323243,0.45386553,0.36375144,0.5653926,0.61707574,0.58220977,0.51696694,0.57265955,0.9375748,0.6177511,0.6301272,0.5626745,0.7742586
H22,0.4224319,0.45071855,0.39098614,0.3373988,0.46243376,0.3788223,0.22749288,0.5431561,0.38433725,0.37210426,0.2817738,0.53024167,0.38112473,0.52615774,0.37961915,0.24539015,0.4770319,0.40567416,0.30534914,0.29722977,0.28484896,0.5020212,0.13600278,0.3710364,0.47838467,0.34075725,0.566015,0.7167283,0.57761776,0.36683586,0.6088536,0.3006169,0.5363065,0.2578447,0.5037184,0.2820528,0.5897242,0.21852303,0.4685189,0.55321515,0.55071694,0.4283718,0.348482,0.75745857,0.47431844,0.5457447,0.41266945,0.6686845
H23,0.5125975,0.5328261,0.38263756,0.67383623,0.50847363,0.407735,0.22146457,0.6799422,0.5470122,0.35524365,0.46388045,0.5476758,0.34386283,0.57517326,0.4953104,0.3060618,0.42687201,0.47478792,0.43297046,0.3720981,0.19541028,0.58729005,0.276019,0.4004649,0.50125766,0.45687228,0.4104594,0.48541427,0.4562707,0.53678524,0.52740014,0.4064604,0.4881264,0.40405217,0.50941277,0.4589545,0.5253679,0.40637338,0.49877673,0.5398151,0.9664218,0.76739395,0.6766537,0.624966,0.5666573,0.6859491,0.5424861,0.6774889
H24,0.47161987,0.50443673,0.39992326,0.51921177,0.49477345,0.39130926,0.20687354,0.57675505,0.456896,0.38848552,0.33760285,0.48021317,0.34237868,0.51720417,0.45451355,0.24403974,0.49785715,0.41636193,0.38760704,0.28544706,0.28134486,0.57875454,0.10347979,0.39001247,0.51922274,0.41336673,0.53360695,0.6843316,0.47569764,0.43097597,0.64907396,0.4201801,0.5285608,0.25849533,0.46602207,0.31332463,0.5658685,0.27555653,0.5703356,0.5259689,0.6226828,0.523331,0.5159686,0.71423256,0.69397366,0.6623199,0.7133148,0.9273672
H25,0.5635222,0.48203355,0.44230723,0.65617764,0.57036674,0.47481596,0.22425097,0.64395744,0.5445163,0.41520375,0.55621254,0.5172255,0.4341523,0.5776007,0.549554,0.35265914,0.4085377,0.46612185,0.40077066,0.43532997,0.2802791,0.6616671,0.30698314,0.4363559,0.46266365,0.44763422,0.5363548,0.5536183,0.6307032,0.5225649,0.53038186,0.36289603,0.484949,0.48400286,0.58325994,0.48050225,0.5365957,0.38294592,0.6463605,0.51918375,0.6742625,0.7172702,0.5989219,0.7007683,0.6616126,0.9297073,0.60719,0.76158285
H26,0.48073894,0.37961248,0.3709926,0.23428705,0.53789085,0.4349588,0.25740388,0.5244489,0.33383602,0.39693952,0.2564102,0.5113465,0.30879766,0.22712538,0.40023565,0.39797014,0.45088583,0.3545489,0.23735851,0.60710466,0.2755447,0.4074992,0.14436644,0.40632996,0.42073673,0.46102273,0.96414924,0.7758099,0.6055213,0.40820867,0.59703535,0.24521112,0.53554446,0.3196975,0.59736675,0.38554972,0.59552884,0.28840134,0.3369047,0.36283496,0.35066676,0.40447068,0.25360113,0.4577886,0.32912156,0.39311087,0.17759763,0.5259483
H27,0.44555008,0.36357367,0.4306828,0.23883492,0.5190593,0.45361042,0.2515178,0.5037143,0.2910904,0.40857697,0.27383134,0.53830117,0.3631526,0.23509657,0.3646729,0.1959076,0.6263211,0.37921298,0.30025598,0.25771594,0.39193994,0.43913797,0.08450868,0.41487294,0.43290734,0.39000326,0.76065964,0.97244716,0.6095603,0.39238936,0.7496294,0.30291754,0.6912459,0.2309241,0.57910275,0.29359138,0.7268062,0.23238817,0.40782964,0.38453054,0.41339076,0.34130806,0.22311553,0.5002922,0.3402773,0.36507976,0.22370851,0.6032784
H28,0.4941177,0.45327494,0.42100814,0.33757856,0.5017481,0.39311445,0.2628157,0.5198084,0.43438882,0.3176133,0.33939767,0.566013,0.44947687,0.36137438,0.4367048,0.38897663,0.45567024,0.4607622,0.31181577,0.42634618,0.27137542,0.46663362,0.2115911,0.44775522,0.51329565,0.4389168,0.57937,0.6611754,0.5728353,0.4402175,0.630731,0.40283054,0.55541384,0.34669954,0.5414978,0.40800008,0.704189,0.43365568,0.38933113,0.4010286,0.4737707,0.44188613,0.37438303,0.56362367,0.4121615,0.43148422,0.31511742,0.53681815
H29,0.4735364,0.43689805,0.39723653,0.36254865,0.52032185,0.37364858,0.2661708,0.47130686,0.44797754,0.32758382,0.3636517,0.4805333,0.46903116,0.41749775,0.43759456,0.36433375,0.4265384,0.46426207,0.3382967,0.40219662,0.283368,0.47694677,0.26056442,0.5020379,0.4943182,0.4762696,0.46947232,0.54303086,0.502374,0.41447335,0.5528116,0.41708893,0.49636006,0.35698456,0.45039162,0.3599727,0.71118796,0.5142648,0.40258324,0.40789148,0.4748336,0.45655537,0.4320745,0.5464254,0.40959573,0.45032012,0.32954475,0.50260216
H30,0.5873312,0.502455,0.5451935,0.57080865,0.53794056,0.45940557,0.2874603,0.59647995,0.5548035,0.33175927,0.5603075,0.512497,0.42760336,0.5219817,0.43105036,0.3641312,0.4273597,0.44946954,0.39089376,0.40849054,0.27108368,0.9678987,0.32141566,0.4539126,0.5236678,0.50795007,0.5013281,0.5576402,0.57927334,0.52746654,0.61982596,0.4582989,0.5454346,0.4498769,0.5538031,0.49067467,0.58016205,0.47035947,0.61599386,0.46561393,0.59500545,0.6199899,0.66986465,0.6167105,0.5195019,0.7073887,0.47231013,0.62045527
H31,0.5179305,0.4614798,0.41446108,0.5908526,0.579337,0.4446069,0.24413176,0.64226866,0.483392,0.38169608,0.50586593,0.5519334,0.35720658,0.43554282,0.5243156,0.35217464,0.39381272,0.38799208,0.34909302,0.45256335,0.2657377,0.5714519,0.2398139,0.4058659,0.3671686,0.44314164,0.6016996,0.6036805,0.5531658,0.59740865,0.5898359,0.369722,0.5284419,0.4268986,0.6452475,0.51568794,0.60384196,0.3835112,0.45792526,0.3937794,0.72166973,0.913625,0.56759936,0.5355001,0.5074712,0.6528695,0.4154656,0.6133493
H32,0.51839674,0.35681006,0.41343686,0.3425115,0.5737092,0.4576172,0.26053783,0.5277011,0.38909137,0.33519888,0.40288258,0.6564248,0.38129094,0.26660562,0.36746308,0.31414366,0.5542879,0.37225232,0.24126798,0.35495615,0.32540697,0.47269362,0.182227,0.3861102,0.40301666,0.37937295,0.683307,0.81957006,0.63719344,0.50486284,0.7471081,0.38636717,0.72918284,0.4000604,0.67333597,0.4498245,0.87409645,0.54018855,0.36387694,0.32434303,0.4523943,0.4347865,0.30679423,0.43690118,0.35290456,0.42725703,0.22914788,0.510634
H33,0.5357876,0.3928315,0.41794637,0.3992417,0.5868368,0.4256021,0.29390544,0.5254571,0.45084557,0.3139423,0.49516153,0.637338,0.38705343,0.30650145,0.34324738,0.35643932,0.52906895,0.38056502,0.27031207,0.37784576,0.33226883,0.49994606,0.2934057,0.4349869,0.41071492,0.4873069,0.602152,0.6944245,0.6043,0.55409956,0.68065166,0.43656677,0.695815,0.47216994,0.6636691,0.53404,0.9483464,0.7336848,0.37346467,0.3135484,0.48851284,0.4693639,0.4125483,0.426314,0.31668413,0.44551837,0.23796451,0.478687
