event_id,n_assigned_HIGHLIGHT,n_zero_parts_HIGHLIGHT,p_HIGHLIGHT_Narrative & meta,p_HIGHLIGHT_Race dynamics,p_HIGHLIGHT_Regulatory,p_HIGHLIGHT_Strategy & technical,logit_S_HIGHLIGHT,n_assigned_FULL_RACE,n_zero_parts_FULL_RACE,p_FULL_RACE_Narrative & meta,p_FULL_RACE_Race dynamics,p_FULL_RACE_Regulatory,p_FULL_RACE_Strategy & technical,logit_S_FULL_RACE,delta_logit_S,delta_raw_p_S,delta_clr_Narrative & meta,delta_clr_Race dynamics,delta_clr_Regulatory,delta_clr_Strategy & technical,delta_ilr_b1,delta_ilr_b2,delta_ilr_b3,delta_logratio_S_over_Narrative & meta,delta_logratio_S_over_Race dynamics,delta_logratio_S_over_Regulatory
2023_Australia_GP,65,0,0.23076923076923078,0.5846153846153846,0.06153846153846154,0.12307692307692308,-1.963609726154714,1777,0,0.2605514912774339,0.47608328643781656,0.08497467642093416,0.17839054586381542,-1.5272899408251015,-0.4363197853296126,-0.055313622786892336,0.031087087205061037,0.35783074030924755,-0.17022153550594865,-0.21869629200835972,-0.25252872612359906,0.3489689766768077,0.14234669223027918,-0.2497833792134208,-0.5765270323176072,-0.048474756502410954
2023_Qatar_GP,49,0,0.3469387755102041,0.42857142857142855,0.061224489795918366,0.16326530612244897,-1.634130525024472,954,0,0.31446540880503143,0.3469601677148847,0.07547169811320754,0.2631027253668763,-1.0299039526788811,-0.6042265723455909,-0.09983741924442732,0.19248844341339488,0.3054616363597398,-0.1149962563345659,-0.3829538234385681,-0.44219698609890734,0.21777232879307828,0.2174245163028925,-0.575442266851963,-0.6884154597983081,-0.2679575671040024
2023_Singapore_GP,60,0,0.38333333333333336,0.4666666666666667,0.05,0.1,-2.197224577336219,1313,0,0.2856054836252856,0.4044173648134044,0.05483625285605483,0.25514089870525514,-1.071379138209751,-1.125845439126468,-0.15514089870525513,0.44217174347197696,0.29104604244650323,0.05554972316529283,-0.7887675090837731,-0.9107902673950938,0.03444416066828404,0.27338305231489923,-1.2309392525557503,-1.0798135515302765,-0.8443172322490659
2024_Bahrain_GP,68,1,0.4087370242214533,0.48172577854671284,0.007352941176470588,0.10218425605536333,-2.173187246768288,949,0,0.33192834562697576,0.4067439409905163,0.0368809272918862,0.2244467860906217,-1.239937953019451,-0.933249293748837,-0.12226253003525839,0.7136806433632277,0.6747189640153063,-1.10706636273808,-0.28133324464045484,-0.32485564905031467,0.7115047746332752,1.2874625548393388,-0.9950138880036827,-0.9560522086557613,0.8257331180976248
2024_SaoPaulo_GP,87,0,0.26436781609195403,0.4942528735632184,0.12643678160919541,0.11494252873563218,-2.0412203288596382,1421,0,0.28641801548205487,0.366643209007741,0.0781140042223786,0.26882477128782545,-1.0005933824926525,-1.0406269463669857,-0.15388224255219327,-0.042734134588509276,0.3360349088651313,0.5189499064109726,-0.8122506806875938,-0.9379062982888782,0.07995707942229002,-0.39717059427499635,-0.7695165460990842,-1.148285589552725,-1.331200587098566
2024_Italy_GP,67,0,0.2835820895522388,0.5373134328358209,0.014925373134328358,0.16417910447761194,-1.6274564179367788,1101,0,0.30517711171662126,0.4141689373297003,0.021798365122615803,0.25885558583106266,-1.0519251746954565,-0.5755312432413222,-0.09467648135345072,0.08840126662155234,0.42209957636004025,-0.21698038292962885,-0.29352046005196364,-0.33892823324732774,0.39713506533114096,0.21593743524757425,-0.3819217266735162,-0.7156200364120039,-0.07654007712233435
2024_LasVegas_GP,89,0,0.33707865168539325,0.4943820224719101,0.011235955056179775,0.15730337078651685,-1.678430783921052,1033,0,0.38915779283639884,0.36302032913843174,0.03484995159728945,0.21297192642787996,-1.307103563195449,-0.37132722072560287,-0.05566855564136311,0.1737653565936912,0.6262836714984072,-0.8144988749055528,0.01444984681345396,0.016685245894993372,0.7729368399630264,0.6988083396972273,-0.15931550978023712,-0.6118338246849533,0.828948721719007
2024_Qatar_GP,54,0,0.2222222222222222,0.4444444444444444,0.18518518518518517,0.14814814814814814,-1.749199854809259,1225,0,0.2506122448979592,0.4146938775510204,0.11591836734693878,0.21877551020408162,-1.2728164109420976,-0.47638344386716147,-0.07062736205593348,-0.1271520681822047,0.06236141238645598,0.46154706500977705,-0.39675640921402855,-0.4581348393248572,-0.08559830579915995,-0.41627314915869285,-0.2696043410318239,-0.4591178216004844,-0.8583034742238056
2025_Belgium_GP,62,0,0.3064516129032258,0.3064516129032258,0.06451612903225806,0.3225806451612903,-0.7419373447293774,1612,0,0.27357320099255583,0.34801488833746896,0.04838709677419355,0.33002481389578164,-0.708072830776621,-0.03386451395275647,-0.00744416873449133,0.050697479718098126,-0.18997855035775202,0.224888910428803,-0.08560783978914954,-0.09885141869401554,-0.26762450946928995,-0.12317194188012603,-0.13630531950724786,0.10437071056860237,-0.31049675021795253
2025_Japan_GP,74,0,0.4189189189189189,0.4189189189189189,0.02702702702702703,0.13513513513513514,-1.8562979903656263,1175,0,0.3046808510638298,0.4280851063829787,0.02468085106382979,0.2425531914893617,-1.138732282457535,-0.7175657079080913,-0.10741805635422655,0.3677545891422662,0.02769740544322752,0.14015172163129175,-0.5356037162167842,-0.6184618994734485,-0.18473704624414822,0.1609395310345132,-0.9033583053590506,-0.5633011216600117,-0.6757554378480759
