event_id,k_blocks,n_valid,n_failed,observed_effect,null_mean,null_sd,null_p2.5,null_p97.5,p_one_sided_depletion,below_null_p2.5
2023_Australia_GP,1,10000,0,-0.055313622786892336,0.003605630771526797,0.09112584621811376,-0.13917485958930562,0.20342763595436641,0.3110688931106889,False
2023_Australia_GP,5,10000,0,-0.055313622786892336,0.0030627391842139636,0.07198322027633722,-0.12178677227890976,0.1549427874695179,0.22287771222877711,False
2023_Australia_GP,10,10000,0,-0.055313622786892336,0.002425483657474301,0.06406863679030975,-0.11176011108120669,0.13743102024658205,0.19288071192880712,False
2023_Australia_GP,20,10000,0,-0.055313622786892336,0.0015735254995484364,0.05949557522005825,-0.10523090063099945,0.12773190311577642,0.17448255174482552,False
2023_Qatar_GP,1,10000,0,-0.09983741924442732,0.0006785444636741894,0.09438663192238705,-0.20595986822401915,0.18689727463312372,0.13388661133886612,False
2023_Qatar_GP,5,10000,0,-0.09983741924442732,0.0009259733384753691,0.08731372169597827,-0.15595986822401914,0.18134171907756813,0.12888711128887112,False
2023_Qatar_GP,10,10000,0,-0.09983741924442732,-0.0007678386093816488,0.08203353513528684,-0.15199161425576518,0.16546870320455226,0.11548845115488451,False
2023_Qatar_GP,20,10000,0,-0.09983741924442732,0.003766903100909605,0.07872216121533214,-0.14189060415475507,0.16546870320455226,0.0928907109289071,False
2023_Singapore_GP,1,10000,0,-0.15514089870525513,0.005445169023446835,0.10918070426971402,-0.16254830611266255,0.2754713461927041,0.033396660333966606,False
2023_Singapore_GP,5,10000,0,-0.15514089870525513,0.0023647376309066563,0.0792153941176363,-0.13975628332063975,0.16798410129474417,0.013798620137986202,True
2023_Singapore_GP,10,10000,0,-0.15514089870525513,0.0015380839976400899,0.07119959205948583,-0.13014089870525514,0.14495525514089733,0.007499250074992501,True
2023_Singapore_GP,20,10000,0,-0.15514089870525513,-0.00022907372236546713,0.066347833044808,-0.12551126907562551,0.13616344912083184,0.0057994200579942,True
2024_Bahrain_GP,1,10000,0,-0.12150560962003348,0.00765746950073316,0.10816142467489598,-0.1542713474941305,0.19863013698630136,0.11358864113588642,False
2024_Bahrain_GP,5,10000,0,-0.12150560962003348,0.0005877671804330366,0.07613220958478754,-0.13516107180490744,0.16151812619008002,0.041495850414958506,False
2024_Bahrain_GP,10,10000,0,-0.12150560962003348,0.0001470149481167367,0.0693857351491496,-0.12609416635420256,0.14592358427974864,0.029897010298970104,False
2024_Bahrain_GP,20,10000,0,-0.12150560962003348,0.0026847619462243124,0.062805072256053,-0.11535587699971263,0.13269607105223544,0.0182981701829817,True
2024_SaoPaulo_GP,1,10000,0,-0.15388224255219327,0.005447730968838329,0.07984387484859579,-0.13036323282628698,0.19692865336970877,0.0105989401059894,True
2024_SaoPaulo_GP,5,10000,0,-0.15388224255219327,0.002825337357497579,0.07044073890814065,-0.12993588239893655,0.14388951442646,0.008899110088991101,True
2024_SaoPaulo_GP,10,10000,0,-0.15388224255219327,0.002058364905832452,0.06420895640491824,-0.11730961977267393,0.13117522871217457,0.004999500049995001,True
2024_SaoPaulo_GP,20,10000,0,-0.15388224255219327,0.003027351105303692,0.05878277083817978,-0.10883926404144863,0.12247957653826153,0.0032996700329967,True
