highlight_cluster,highlight_name,observed_best_cosine,null_median,null_p95,null_p_empirical,exceeds_null_p95,within_highlight_offdiag_p95,exceeds_within_highlight_p95
0,DRS-assisted battles,0.97106075,0.6593084931373596,0.6830052703619003,0.000999000999000999,True,0.7143808007240295,True
1,Time penalties,0.9389739,0.7028436064720154,0.7263273537158966,0.000999000999000999,True,0.7143808007240295,True
2,Lights-out race starts,0.5352745,0.5724227726459503,0.5968990474939346,1.0,False,0.7143808007240295,False
3,Mirror checks defending,0.6508403,0.6980884373188019,0.7117868423461914,1.0,False,0.7143808007240295,False
4,Race start launch,0.64620507,0.6648603677749634,0.6814859122037887,1.0,False,0.7143808007240295,False
5,Weather conditions,0.9337661,0.6270550489425659,0.6556129038333892,0.000999000999000999,True,0.7143808007240295,True
6,Grand Prix wins,0.968964,0.7967072427272797,0.8240823447704315,0.000999000999000999,True,0.7143808007240295,True
7,Race start lights,0.6989316,0.5961131453514099,0.6236816227436066,0.000999000999000999,True,0.7143808007240295,False
8,Race control flags,0.9403254,0.6978963315486908,0.7170192420482635,0.000999000999000999,True,0.7143808007240295,True
9,Formula 1 milestones,0.8383821,0.7314372062683105,0.756794348359108,0.000999000999000999,True,0.7143808007240295,True
10,Chicane moves,0.9183681,0.6793032586574554,0.6954284965991974,0.000999000999000999,True,0.7143808007240295,True
11,Team radio celebrations,0.77529263,0.5276387333869934,0.5573417365550994,0.000999000999000999,True,0.7143808007240295,True
12,Podium finishes,0.9432529,0.7477535605430603,0.7705720722675323,0.000999000999000999,True,0.7143808007240295,True
13,Championship & title,0.9084796,0.7334516048431396,0.7543675929307937,0.000999000999000999,True,0.7143808007240295,True
14,Pit stops,0.96995795,0.8034477531909943,0.8207543164491653,0.000999000999000999,True,0.7143808007240295,True
15,Tires & compounds,0.9613708,0.7597997188568115,0.7913492083549499,0.000999000999000999,True,0.7143808007240295,True
16,Safety car deployment,0.9542562,0.7188395857810974,0.7403875768184662,0.000999000999000999,True,0.7143808007240295,True
17,Gap & pace,0.8949772,0.7191479504108429,0.7448630094528198,0.000999000999000999,True,0.7143808007240295,True
18,Team dynamics,0.948081,0.8199871778488159,0.845953494310379,0.000999000999000999,True,0.7143808007240295,True
19,Race lead holding,0.76330435,0.6954619884490967,0.7237760215997696,0.000999000999000999,True,0.7143808007240295,True
20,Wing & car damage,0.5840172,0.6602502763271332,0.67764210999012,1.0,False,0.7143808007240295,False
21,Braking & lockups,0.9375748,0.7550994753837585,0.7748370289802551,0.000999000999000999,True,0.7143808007240295,True
22,Wheel-to-wheel,0.75745857,0.7172975242137909,0.7402440309524536,0.006993006993006993,True,0.7143808007240295,True
23,Circuit action,0.9664218,0.7953762412071228,0.810548621416092,0.000999000999000999,True,0.7143808007240295,True
24,Inter-car distance,0.9273672,0.769765704870224,0.7880844414234162,0.000999000999000999,True,0.7143808007240295,True
25,Driver & team references,0.9297073,0.8351098597049713,0.8482450276613236,0.000999000999000999,True,0.7143808007240295,True
26,Defending & attacking,0.96414924,0.6898380517959595,0.7225936889648438,0.000999000999000999,True,0.7143808007240295,True
27,Overtake battles,0.97244716,0.7470107674598694,0.7859290301799774,0.000999000999000999,True,0.7143808007240295,True
28,Corner battles,0.704189,0.7063167691230774,0.7252823889255524,0.5954045954045954,False,0.7143808007240295,False
29,Corner specific moves,0.71118796,0.6816962957382202,0.6970328181982041,0.007992007992007992,True,0.7143808007240295,False
30,Lap pace & timing,0.9678987,0.8151485025882721,0.8313779771327973,0.000999000999000999,True,0.7143808007240295,True
31,Race leader changes,0.913625,0.8097769021987915,0.8286001890897751,0.000999000999000999,True,0.7143808007240295,True
32,Front position changes,0.87409645,0.7473138868808746,0.7755762785673141,0.000999000999000999,True,0.7143808007240295,True
33,Field position changes,0.9483464,0.7464658915996552,0.7692237585783005,0.000999000999000999,True,0.7143808007240295,True
