mcs,n_seeds,n_pairs_both_viable,median_delta_A_minus_B,iqr_lo,iqr_hi,min_delta,max_delta,n_A_gt_B,n_equal,n_A_lt_B,mean_abs_delta
30,50,40,0.0,-1.25,2.0,-5.0,6.0,19,6,15,2.025
35,50,26,0.0,-1.0,1.75,-3.0,5.0,11,4,11,1.5384615384615385
