mcs,n_clusters,noise_rate,dbcv,silhouette,mean_enriched,frac_interp,time_sec
15,62,0.3515103962338172,0.35250885823189637,0.6331408023834229,11.258064516129032,0.8870967741935484,2.350137710571289
20,44,0.30391003007715445,0.34599445590904165,0.6404003500938416,13.818181818181818,0.9090909090909091,2.226170539855957
25,38,0.2944945730351772,0.30315180265290603,0.6345983743667603,15.263157894736842,0.9736842105263158,2.376577615737915
30,35,0.3437949522688636,0.36047245965331304,0.6667390465736389,15.285714285714286,0.9428571428571428,2.196707248687744
35,34,0.33516411664705115,0.34771965666497656,0.662434995174408,17.176470588235293,1.0,2.1976122856140137
40,33,0.34170262848175753,0.3222133374923104,0.6691028475761414,16.727272727272727,0.9696969696969697,2.190209150314331
45,30,0.34575650581927553,0.31642533791366345,0.6576632261276245,16.8,1.0,2.07163143157959
50,29,0.35687197593827646,0.3283753191337755,0.659681499004364,17.03448275862069,1.0,2.1322219371795654
55,3,0.0,0.3596628074523579,0.3469386100769043,18.666666666666668,1.0,14.589608907699585
60,3,0.0,0.3596628074523579,0.3469386100769043,18.666666666666668,1.0,13.724175691604614
70,3,0.0,0.3596628074523579,0.3469386100769043,18.666666666666668,1.0,13.376271963119507
80,3,0.0,0.3596628074523579,0.3469386100769043,18.666666666666668,1.0,13.446149587631226
100,3,0.0,0.3596628074523579,0.3469386100769043,18.666666666666668,1.0,13.236116170883179
120,2,0.0,0.3321886884085026,0.494476854801178,15.5,0.5,13.587384462356567
