cluster_id,n_enriched,n_bigram
0,49,30
1,39,24
2,16,11
3,23,13
4,15,8
5,15,3
6,115,75
7,26,15
8,34,18
9,36,17
10,8,5
11,36,11
12,36,20
13,36,16
14,41,24
15,83,46
16,25,13
17,20,9
18,5,1
19,14,10
20,16,7
21,19,10
22,11,8
23,4,3
24,17,9
25,8,4
26,11,3
27,17,7
28,7,4
29,18,10
30,23,15
31,18,14
32,7,3
33,16,6
