pipeline,n_clusters,noise_pct,dbcv,silhouette
P1_anchor,34,33.51641166470512,0.34771965666497656,0.662434995174408
A1_MPNet,35,38.851837321825556,-0.567707075993447,0.16756542026996613
A2_BGE,35,45.168039754151955,-0.5111179857239009,0.17881393432617188
A3_GTE,32,41.91186086046816,-0.509806363716708,0.24477240443229675
B1_OPTICS,54,45.58650451157317,0.09318743889488679,0.5771691799163818
B2_Leiden,30,0.0,-0.3173666602922739,0.334675133228302
C1_KMeans,34,0.0,-0.43229821589986567,0.40670597553253174
C2_Ward,34,0.0,-0.3328501977016396,0.3959757685661316
C3_GMM_PCA,34,0.0,-0.9870914276001276,-0.20263166725635529
D1_PCA_HDBSCAN,4,85.05296194586113,-0.14082592058589186,0.3765932619571686
D2_NoReduction,2,88.96299202301556,0.01584494940160406,0.4164784252643585
