,axis1_algorithm,axis2_bootstrap,axis3_heldout,axis4_hierarchical
axis1_algorithm,1.0,0.4641,0.1466,0.0738
axis2_bootstrap,0.4641,1.0,0.4028,0.2889
axis3_heldout,0.1466,0.4028,1.0,0.0398
axis4_hierarchical,0.0738,0.2889,0.0398,1.0
