cluster_id,thematic_label,term,train_obs,train_z,train_p,train_q,train_log2fc,test_obs,test_z,test_p,test_q_subset_fdr,test_log2fc,replicated_strict,replicated_lenient,direction_ok
0,(no label),advantage,5,4.562926398191056,0.0,0.0,1.6966576055126692,3,3.0894597321054427,0.022,0.03902824858757062,1.289827251720338,True,True,True
0,(no label),chance,9,5.244311475180517,0.0,0.0,1.7993701020169255,2,1.5065092862226652,0.182,0.24527038626609443,0.7817354642862285,False,False,True
0,(no label),defensive,8,8.226754684685691,0.0,0.0,2.3099554532212863,0,-0.42580495606020885,1.0,1.0,-0.23020301336642146,False,False,False
0,(no label),drs,148,57.284008230072885,0.0,0.0,4.28899891231208,59,35.31442048744069,0.0,0.0,4.009650170033719,True,True,True
0,(no label),enabled,5,10.627296451043115,0.0,0.0,2.300448367476911,2,7.458762750111583,0.0,0.0,1.4846575949254708,True,True,True
0,(no label),extra,5,8.047365868553918,0.0,0.0,2.1605778291830595,5,6.069124439185642,0.0,0.0,1.936957320910663,True,True,True
0,(no label),got,53,9.702470569425317,0.0,0.0,1.79261612527024,17,4.515573534619618,0.0,0.0,1.4553497625906866,True,True,True
0,(no label),help,4,7.969475190935818,0.0,0.0,2.0291463456595165,1,3.142322444563915,0.083,0.12065740740740742,0.8809758968577255,False,True,True
0,(no label),helping,4,6.801426864174271,0.0,0.0,2.0362299689292374,2,5.276801028575569,0.008,0.0157,1.4137556733030137,True,True,True
0,(no label),main,7,6.387617072335794,0.0,0.0,2.040971781056306,0,-0.6276909110292034,1.0,1.0,-0.4678011564884072,False,False,False
0,(no label),open,9,10.04437267447916,0.0,0.0,2.5278241963276145,4,6.034772128585344,0.0,0.0,1.8614476248473515,True,True,True
0,(no label),shape,4,5.919623869797952,0.0,0.0,1.8468432119385796,0,-0.30901834463246336,1.0,1.0,-0.12565110166152005,False,False,False
0,(no label),straight,12,5.204434539369006,0.0,0.0,1.741040483368971,7,5.721132446354901,0.0,0.0,1.9742624385863918,True,True,True
0,(no label),zone,11,8.62159047342345,0.0,0.0,2.4035418604410146,6,8.906740874377132,0.0,0.0,2.3116597594335353,True,True,True
1,(no label),advantage,5,6.759688363641263,0.0,0.0,2.0291463456595165,6,8.141012855469251,0.0,0.0,2.2310746644362487,True,True,True
1,(no label),causing,14,25.70759190764745,0.0,0.0,3.5283789723547887,6,14.255894805936324,0.0,0.0,2.5771519086911825,True,True,True
1,(no label),collision,15,25.279488353703858,0.0,0.0,3.5659723253364026,6,14.255894805936324,0.0,0.0,2.5771519086911825,True,True,True
1,(no label),forcing,3,7.030178832631402,0.0,0.0,1.7846320277965204,8,14.695559332768722,0.0,0.0,2.8216925822030414,True,True,True
1,(no label),forward,2,11.181818181818182,0.0,0.0,1.539519529959989,0,-0.14285714285714288,1.0,1.0,-0.028569152196770954,False,False,False
1,(no label),given,7,10.008216800210647,0.0,0.0,2.4689305072740457,6,10.127730674717103,0.0,0.0,2.404632745211999,True,True,True
1,(no label),leaving,4,12.978262179109175,0.0,0.0,2.196276993225842,4,10.02939208338025,0.0,0.0,2.1140352432460294,True,True,True
1,(no label),penalty,74,56.46679585986191,0.0,0.0,4.8959675684237265,40,34.37630842387359,0.0,0.0,4.190836559651661,True,True,True
1,(no label),second,58,20.935745699756772,0.0,0.0,3.0177140770720534,29,13.898463197974202,0.0,0.0,2.7998723457263983,True,True,True
1,(no label),speeding,4,12.700197341007332,0.0,0.0,2.187050040544251,2,5.413227346327725,0.033,0.05570967741935484,1.4927550626240673,False,True,True
1,(no label),time,33,12.124647881657875,0.0,0.0,2.4505482608944615,14,6.533441139605513,0.0,0.0,1.94674961529775,True,True,True
1,(no label),track,8,6.278041410986815,0.0,0.0,2.0245736158696923,13,10.79954046263697,0.0,0.0,2.6843509680027844,True,True,True
2,(no label),away,32,29.45773953300405,0.0,0.0,4.0393535026579235,16,17.76375349559169,0.0,0.0,3.405788699457506,True,True,True
2,(no label),lights,36,41.20551689383084,0.0,0.0,4.495757550785591,12,20.576444359543864,0.0,0.0,3.3086719981850954,True,True,True
2,(no label),reaction,3,10.590866667040332,0.0,0.0,1.8943219221054628,1,5.101965201453393,0.034,0.057090909090909095,0.9503692322753996,False,True,True
2,(no label),start,8,6.330527259237274,0.0,0.0,2.1598613180976143,3,3.303403051503793,0.025,0.04385474860335196,1.4217858345275458,True,True,True
3,(no label),checking,8,23.46128056720893,0.0,0.0,3.0077149651280055,4,20.589433298237285,0.0,0.0,2.282087830355571,True,True,True
3,(no label),checks,8,24.06771590357051,0.0,0.0,3.023269779322847,1,12.871156384205214,0.006,0.01231372549019608,0.99136969485656,True,True,True
3,(no label),closer,4,7.2453170882733495,0.0,0.0,2.037413961643117,0,-0.3162076003588117,1.0,1.0,-0.15315678806142044,False,False,False
3,(no label),left,7,8.66109085846218,0.0,0.0,2.3473987824034808,2,4.110312382632912,0.02,0.035885714285714285,1.359687570851587,True,True,True
3,(no label),mirror,17,34.35203760557766,0.0,0.0,3.8560987050519144,2,13.188501997258438,0.0,0.0,1.5521563556379145,True,True,True
3,(no label),mirrors,15,37.383905946105926,0.0,0.0,3.7908586021614084,8,33.284147744609896,0.0,0.0,3.109185843584634,True,True,True
3,(no label),scarlet,8,26.577903407628458,0.0,0.0,3.0350469470992008,2,15.339863481955248,0.0,0.0,1.5606428215257433,True,True,True
3,(no label),sees,3,7.5340751693545736,0.0,0.0,1.7958592832197746,1,4.069941554476491,0.046,0.07407179487179487,0.9309853220848194,False,True,True
4,(no label),chop,3,14.254419724260707,0.0,0.0,1.936497057693842,0,-0.08980265101338744,1.0,1.0,-0.011495638837829386,False,False,False
4,(no label),chops,3,11.614272986524309,0.0,0.0,1.9105018491608974,0,-0.08396038004871988,1.0,1.0,-0.010063683344697424,False,False,False
4,(no label),good,13,10.513892032879953,0.0,0.0,2.762611100833207,2,3.536387243576732,0.026,0.04535555555555555,1.3040061868900998,True,True,True
4,(no label),launch,30,49.43583835665729,0.0,0.0,4.513775589630108,7,24.855112849875244,0.0,0.0,2.898349923905565,True,True,True
4,(no label),line,22,15.150008827140091,0.0,0.0,3.1339951442942873,5,6.526116620797747,0.001,0.002396946564885496,2.09747615137262,True,True,True
4,(no label),needed,4,7.312741456389273,0.0,0.0,2.022097333064992,0,-0.2017014199595969,1.0,1.0,-0.05797006863732986,False,False,False
5,(no label),extraordinary,3,10.13885724937384,0.0,0.0,1.8809758968577255,0,0.0,1.0,1.0,0.0,False,False,False
5,(no label),minutes,3,12.464186287270035,0.0,0.0,1.9200246232794043,2,18.230011885167087,0.003,0.006680851063829788,1.576332195577716,True,True,True
5,(no label),rain,28,49.76137384888482,0.0,0.0,4.509748575888302,7,30.609840526132256,0.0,0.0,2.9503692322753996,True,True,True
5,(no label),stayed,3,13.088168211439925,0.0,0.0,1.936497057693842,0,-0.054854599453862854,1.0,1.0,-0.004321605950093423,False,False,False
5,(no label),track,5,5.867880221917184,0.0,0.0,1.9424919634053346,1,1.9980024915954295,0.166,0.22662608695652176,0.7648856796236427,False,False,True
5,(no label),water,2,10.692145889192032,0.0,0.0,1.535331732996556,0,0.0,1.0,1.0,0.0,False,False,False
5,(no label),wet,3,9.305009703838834,0.0,0.0,1.863808613712856,1,9.073771725877467,0.012,0.022562874251497007,0.9827907099677768,True,True,True
6,(no label),arabian,5,7.900741078118442,0.0,0.0,2.1498673491010587,2,4.432299959381506,0.013,0.024153846153846154,1.3535300922731912,True,True,True
6,(no label),australian,6,7.195852604090918,0.0,0.0,2.15200309344505,2,5.627632796838947,0.003,0.006680851063829788,1.4214637684382767,True,True,True
6,(no label),austrian,4,6.466351706303105,0.0,0.0,1.8953949567706894,1,2.7342032817617503,0.112,0.15982882882882885,0.8442507673220551,False,False,True
6,(no label),belgian,7,9.0334712774402,0.0,0.0,2.362157939675895,2,4.496795692034691,0.011,0.02093333333333333,1.3547594873547348,True,True,True
6,(no label),british,6,6.580169212889911,0.0,0.0,2.046069648695985,5,7.561036234723418,0.0,0.0,2.0933659063107077,True,True,True
6,(no label),canadian,6,7.74309069878478,0.0,0.0,2.2195099128033267,2,3.5653647619000552,0.055,0.08465686274509804,1.3683524319787146,False,True,True
6,(no label),dutch,5,7.172907766663251,0.0,0.0,2.0528949484321255,3,5.128165592317625,0.001,0.002396946564885496,1.6192705514964514,True,True,True
6,(no label),grand,243,52.2549560850542,0.0,0.0,3.4123910453694943,82,30.300343608618114,0.0,0.0,3.440334231174363,True,True,True
