cluster_id,term,is_bigram,is_whitelist,observed_count,null_mean,null_std,z_score,log2_fc,p_value,q_value_fdr
0,advantage,False,False,8,1.62,1.2006664815842905,5.3137154221058385,1.7803581896795866,0.0,0.0
0,belongs,False,False,3,0.233,0.4782373887516533,5.785829517057881,1.6978272002592478,0.0,0.0
0,belongs person,True,False,3,0.233,0.4782373887516533,5.785829517057881,1.6978272002592478,0.0,0.0
0,bit drs,True,False,6,0.245,0.4989739472156838,11.533668304955357,2.491209179764248,0.0,0.0
0,building mph,True,False,3,0.244,0.4609381737283212,5.979109904714461,1.6850135145314844,0.0,0.0
0,chance,False,False,11,2.523,1.5733629587606284,5.387822277624684,1.7681580258882794,0.0,0.0
0,defensive,False,False,8,1.137,1.0218762155956074,6.716077637642104,2.0743380934445885,0.0,0.0
0,defensive shape,True,False,3,0.28,0.5055689863905816,5.380076850478801,1.6438561897747246,0.0,0.0
0,drs,False,False,207,9.627,3.0769905752211835,64.1448178585377,4.290777241434005,0.0,0.0
0,drs enabled,True,False,3,0.13,0.35651086939951776,8.050245438053626,1.823677227359537,0.0,0.0
0,drs got,True,False,2,0.071,0.2568248430350927,7.5109556272031694,1.4860040206329874,0.0,0.0
0,drs open,True,False,5,0.249,0.4764441205430076,9.971788495543283,2.2641890237752857,0.0,0.0
0,drs person,True,False,15,0.646,0.7724532348304329,18.58235470157744,3.2810356642404614,0.0,0.0
0,drs range,True,False,3,0.122,0.3333406665860018,8.633810058268054,1.8339273240532943,0.0,0.0
0,drs right,True,False,3,0.124,0.3558426618605476,8.082223713600381,1.8313579644411608,0.0,0.0
0,drs wide,True,False,3,0.152,0.38845334340175264,7.331639818207187,1.7958592832197746,0.0,0.0
0,drs zone,True,False,15,0.629,0.8008489245794115,17.944707870522944,3.296013396136569,0.0,0.0
0,enabled,False,False,7,0.296,0.5313981558116287,12.615775810814911,2.6259342817774622,0.0,0.0
0,extra,False,False,10,0.879,0.8719856650197868,10.46003433989139,2.5494665518793287,0.0,0.0
0,extra pace,True,False,4,0.239,0.49181195593437943,7.647231740949819,2.012751907408848,0.0,0.0
0,getting good,True,False,2,0.072,0.2584879107424562,7.458762750111583,1.4846575949254708,0.0,0.0
0,going,False,False,47,25.498,5.053908982164206,4.254528539370791,0.8571509329115381,0.0,0.0
0,got,False,False,70,20.349,4.624197119500853,10.737215286652711,1.7336505298923368,0.0,0.0
0,got drs,True,False,24,1.042,0.9900686844860813,23.188290226467362,3.61387332355901,0.0,0.0
0,help,False,False,5,0.406,0.6173848070693027,7.441064223474347,2.0933659063107077,0.0,0.0
0,helping,False,False,6,0.351,0.6571141453354965,8.596679952941576,2.3733272473940064,0.0,0.0
0,main,False,False,7,1.321,1.118015652842124,5.079535322750922,1.785253477317605,0.0,0.0
0,main straight,True,False,7,0.981,0.9841945945797508,6.115660493512568,2.0137711197726005,0.0,0.0
0,mph,False,False,6,0.551,0.7024236613326746,7.757426607272702,2.1741562356836,0.0,0.0
0,open,False,False,14,1.417,1.1406625267799413,11.031308300730682,2.633673122505023,0.0,0.0
0,pace,False,False,7,1.653,1.2932868977918242,4.134426792020812,1.5923753244333914,0.0,0.0
0,person got,True,False,18,3.828,1.8932553974569837,7.485519396398288,1.976501837350651,0.0,0.0
0,range,False,False,3,0.166,0.39299363862535996,7.211312656136011,1.7784322114615907,0.0,0.0
0,rear wing,True,False,6,0.653,0.8429655983490667,6.343082102605379,2.082268197427377,0.0,0.0
0,second drs,True,False,4,0.158,0.39374611109190655,9.757556688866488,2.110292841560213,0.0,0.0
0,slipstream,False,False,11,1.711,1.2749427438124428,7.285817378922632,2.146137387545531,0.0,0.0
0,speed,False,False,15,1.911,1.3472486778616632,9.7153556096078,2.458485160539321,0.0,0.0
0,speed advantage,True,False,3,0.102,0.3249553815526064,8.918147427359497,1.8598757760909295,0.0,0.0
0,straight,False,False,19,3.907,1.9571282533344612,7.711809368795975,2.027086823481222,0.0,0.0
0,wing open,True,False,3,0.113,0.32593097428750156,8.857703709538807,1.8455464073201275,0.0,0.0
0,zone,False,False,17,1.618,1.2000316662488535,12.817995085148192,2.7814599041591586,0.0,0.0
1,advantage,False,False,11,0.97,0.9659710140578754,10.383334338227938,2.606766871039505,0.0,0.0
1,causing,False,False,20,0.482,0.6630806889059582,29.43533166710598,3.8247719751350133,0.0,0.0
1,causing collision,True,False,17,0.414,0.6153080529295875,26.95560365418785,3.6701428812950008,0.0,0.0
1,collision,False,False,21,0.554,0.7176935279072815,28.488483182533884,3.8234451148916744,0.0,0.0
1,forcing,False,False,11,0.354,0.5972302738475336,17.82562014382715,3.1477347618082465,0.0,0.0
1,forcing person,True,False,4,0.103,0.32617633267912005,11.947525340024352,2.180495303958067,0.0,0.0
1,gaining,False,False,8,0.892,1.3290357406781805,5.348238412589964,2.2500129127650044,0.0,0.0
1,gaining advantage,True,False,7,0.169,0.41525775128226083,16.450024060735238,2.774725070130431,0.0,0.0
1,given,False,False,13,0.89,0.9422844581123048,12.851745453024003,2.888968687611256,0.0,0.0
1,given second,True,False,9,0.209,0.4396805658657203,19.9940608761971,3.048113850300326,0.0,0.0
1,got penalty,True,False,4,0.096,0.3078701024783017,12.680672688167727,2.1896802965889224,0.0,0.0
1,got second,True,False,7,0.163,0.40550092478316246,16.86062739229514,2.7821489031888684,0.0,0.0
1,hit person,True,False,2,0.045,0.2073041244162788,9.43058902231123,1.5214595584149984,0.0,0.0
1,leaving,False,False,8,0.221,0.4540473543585515,17.132574224531414,2.881861801116996,0.0,0.0
1,penalty,False,False,115,2.691,1.7342199975781623,64.76052643657637,4.97396925754405,0.0,0.0
1,penalty hanging,True,False,3,0.05,0.22248595461286988,13.259263961777096,1.929610672108602,0.0,0.0
1,person causing,True,False,2,0.048,0.2137662274541982,9.13147050049446,1.517323783845793,0.0,0.0
1,release,False,False,8,0.275,0.501373114556415,15.407686961504943,2.819427754358179,0.0,0.0
1,second,False,False,87,9.907,3.1493413597131683,24.479086638935,3.0122491847184687,0.0,0.0
1,second penalty,True,False,40,0.937,0.9731551777594362,40.14056636880616,4.403728050676917,0.0,0.0
1,second time,True,False,41,1.341,1.1535679433826167,34.37942275312158,4.1651924883288345,0.0,0.0
1,speeding,False,False,6,0.201,0.5104889812718781,11.35969670795215,2.5431187710140573,0.0,0.0
1,stewards,False,False,3,0.068,0.25956887332652195,11.295653297811718,1.905088352974533,0.0,0.0
1,time,False,False,46,8.832,2.9161234541767924,12.745688097245646,2.257103935967063,0.0,0.0
1,time penalty,True,False,42,0.989,0.9792236720994851,41.881136218930635,4.434221478530441,0.0,0.0
1,track,False,False,25,2.534,1.583933079394455,14.183680038167305,2.8791376782515625,0.0,0.0
1,unsafe,False,False,7,0.159,0.3895112321872118,17.563036530643597,2.787119433655615,0.0,0.0
1,unsafe release,True,False,7,0.159,0.3895112321872118,17.563036530643597,2.787119433655615,0.0,0.0
