axis,min,q1,median,q3,max,mean,sd,pass_at_0.3,pass_at_0.4,pass_at_0.5,pass_at_0.6,pass_at_0.7
axis1_algorithm,0.0468333333333333,0.2865416666666667,0.4754166666666666,0.6466666666666667,0.8566666666666668,0.4650490196078432,0.22504303190974592,24,20,14,11,6
axis2_bootstrap,0.0411369116750484,0.5154903828176528,0.6884359355300856,0.7748547986816017,0.9666427767395336,0.6294208464530365,0.2211269704668357,31,30,26,23,13
axis3_heldout,0.2857142857142857,0.4545454545454545,0.6,0.75,1.0,0.6090771268670955,0.19606327514873637,32,29,24,17,11
axis4_hierarchical,0.3472638406802593,0.5229507215182144,0.6379159178025278,0.740993890309747,0.8809722222222222,0.6313701286102485,0.14516182056053825,34,31,28,20,12
