,P1_HDBSCAN_MiniLM_UMAP,P2_KMeans_MiniLM_UMAP,P3_Ward_MiniLM_UMAP,P4_HDBSCAN_BGE_UMAP,P5_GMM_MiniLM_PCA,P6_Spectral_MiniLM_UMAP,P7_GMM_MiniLM_UMAP
P1_HDBSCAN_MiniLM_UMAP,1.0,0.25012771763415514,0.24551629887358276,0.13684501515489325,0.10385148682142896,0.34403493393253265,0.27299928955344477
P2_KMeans_MiniLM_UMAP,0.25012771763415514,1.0,0.7036217572301922,0.034717683337722294,0.24434303715959926,0.46002356261461375,0.6041740483076826
P3_Ward_MiniLM_UMAP,0.24551629887358276,0.7036217572301922,1.0,0.036461939624053745,0.24761295008936704,0.45529588598047,0.6071713953463157
P4_HDBSCAN_BGE_UMAP,0.13684501515489325,0.034717683337722294,0.036461939624053745,1.0,0.02274321039840124,0.0919714642404852,0.03513418839118324
P5_GMM_MiniLM_PCA,0.10385148682142896,0.24434303715959926,0.24761295008936704,0.02274321039840124,1.0,0.17837525014650404,0.22435939035041821
P6_Spectral_MiniLM_UMAP,0.34403493393253265,0.46002356261461375,0.45529588598047,0.0919714642404852,0.17837525014650404,1.0,0.39934610433067474
P7_GMM_MiniLM_UMAP,0.27299928955344477,0.6041740483076826,0.6071713953463157,0.03513418839118324,0.22435939035041821,0.39934610433067474,1.0
