cluster_id,axis1_algorithm,axis2_bootstrap,axis3_heldout,axis4_hierarchical
6,0.7273333333333333,0.8519275183310876,0.6153846153846154,0.6952542321276336
27,0.6396666666666667,0.6881468366052068,0.75,0.357108284187744
10,0.6766666666666667,0.853236266651907,1.0,0.8295833333333335
28,0.3591666666666666,0.6168162246669119,0.5,0.6383939393939394
2,0.6998333333333333,0.8759300481164051,0.75,0.7191627966976265
26,0.4404999999999999,0.6641812116224334,0.3333333333333333,0.5191475543804474
22,0.4735,0.7107576589840524,0.3333333333333333,0.6037628910698919
15,0.7726666666666667,0.8274382117021774,0.5172413793103449,0.6721078431372549
18,0.7248333333333333,0.7089008440803826,1.0,0.3931454967446347
23,0.2336666666666666,0.7001869202982108,1.0,0.5343602229315156
0,0.7909999999999999,0.9666427767395336,0.6428571428571429,0.823357843137255
1,0.8566666666666668,0.965570285193992,0.8333333333333334,0.7779166666666667
14,0.7595,0.775811887545082,0.625,0.5153212926370322
13,0.4815,0.6931098099877998,0.5,0.5480499376784207
8,0.345,0.7719835320911608,0.65,0.7466666666666667
12,0.5863333333333334,0.8263737653868771,0.4545454545454545,0.768921568627451
9,0.5873333333333334,0.7971585539612664,0.8333333333333334,0.7239755612389883
19,0.3996666666666666,0.6939100333890857,0.5,0.6070301798669354
31,0.4658333333333333,0.6351457992541313,0.6,0.5922671857885563
7,0.2848333333333333,0.0411369116750484,0.5714285714285714,0.8765760869565218
16,0.649,0.6887250344549645,0.4,0.5984988875933148
33,0.306,0.5099163827575338,0.7272727272727273,0.3472638406802593
30,0.4773333333333333,0.6970114928602408,0.6666666666666666,0.5884848484848486
3,0.5625,0.5322123829980098,0.75,0.7170833333333333
20,0.601,0.6258319845674472,0.4545454545454545,0.6968627450980392
11,0.2916666666666667,0.6402543557262289,0.7777777777777778,0.7586928104575164
25,0.0765,0.4718212959931907,0.5714285714285714,0.4926760025877672
4,0.4938333333333334,0.357595770445965,0.5,0.8809722222222222
5,0.26,0.0748849391443725,0.4285714285714285,0.7704166666666666
21,0.2406666666666666,0.5793012119801995,0.75,0.505717660475725
17,0.2596666666666666,0.4609585682791801,0.2857142857142857,0.637437896211116
24,0.1451666666666666,0.4112717011382784,0.4444444444444444,0.4541641480561359
29,0.0468333333333333,0.4453053682127489,0.3333333333333333,0.6587036899506902
32,0.096,0.2408531945621324,,0.417500037662297
