,A1_score,A2_score,A3_score,A4_score
A1_score,1.0,0.28813841075002067,-0.013819635396580016,0.289597062421795
A2_score,0.28813841075002067,1.0,0.36430211033437315,-0.02049565364619278
A3_score,-0.013819635396580016,0.36430211033437315,1.0,-0.057859245596894156
A4_score,0.289597062421795,-0.02049565364619278,-0.057859245596894156,1.0
