n_clusters,noise_pct,dbcv,silhouette,davies_bouldin,calinski_harabasz,xi,degenerate
54,45.58650451157317,0.19909922841476638,0.601416289806366,0.558601500466659,9803.6201171875,0.01,False
48,53.6681051392703,0.45741434990174185,0.667991578578949,0.4592927144504979,11629.9208984375,0.02,True
44,58.17967830521773,0.5641636409250589,0.7061691880226135,0.402637563449666,12280.4599609375,0.03,True
