axis,observed,observed_pct,ci_lo,ci_hi,ci_lo_pct,ci_hi_pct
Algorithm,27,79.41176470588235,22.0,31.0,64.70588235294117,91.17647058823529
Bootstrap,23,67.6470588235294,17.0,28.0,50.0,82.3529411764706
Held-out,23,67.6470588235294,17.0,28.0,50.0,82.3529411764706
Hierarchical,28,82.3529411764706,23.0,32.0,67.6470588235294,94.11764705882354
