comparison,metric,observed,null_mean,null_q975,p_value
MiniLM Ward vs E5 Ward,NMI,0.6455198189000699,0.13120094844422614,0.2449351459393802,0.0
MiniLM Ward vs E5 Ward,ARI,0.6094386194384085,0.0006828252568511205,0.12025062762388979,0.0
MiniLM Louvain vs E5 Louvain,NMI,0.49351525240518296,0.493515252405183,0.49351525240518296,1.0
