cluster_id,thematic_label,domain,size,mean_jaccard,std_jaccard,median_jaccard,min_jaccard,max_jaccard,stability_class,n_bootstraps
0,DRS-assisted battles,Race dynamics,205,0.9666427767395336,0.0187392685770926,0.9667920257046884,0.92,0.9940828402366864,highly_stable,30
1,Time penalties,Regulatory,118,0.965570285193992,0.0211877655615946,0.9678399449667509,0.912087912087912,1.0,highly_stable,30
2,Lights-out race starts,Race dynamics,54,0.8759300481164051,0.1788224299656116,0.9166666666666666,0.0070013661202185,1.0,highly_stable,30
10,Chicane moves,Race dynamics,62,0.853236266651907,0.2284397421655948,0.9183333333333332,0.0082431736218444,0.981132075471698,highly_stable,30
6,Grand Prix wins,Narrative & meta,465,0.8519275183310876,0.2655183497641076,0.9493374534463216,0.0604508196721311,0.973753280839895,highly_stable,30
15,Tires & compounds,Strategy & technical,379,0.8274382117021774,0.2591190581032918,0.9115249662618083,0.0514002732240437,0.9605263157894736,highly_stable,30
12,Podium finishes,Narrative & meta,139,0.8263737653868771,0.2699751105136957,0.9136904761904762,0.0187841530054644,0.952,highly_stable,30
9,Formula 1 milestones,Narrative & meta,134,0.7971585539612664,0.2616064391160958,0.8750700280112045,0.0176326815642458,0.9357798165137616,highly_stable,30
14,Pit stops,Strategy & technical,185,0.775811887545082,0.2515077404569714,0.8481831648658069,0.0240425897303795,0.9044585987261148,highly_stable,30
8,Race control flags,Regulatory,118,0.7719835320911608,0.3062768388956843,0.9117307692307692,0.0146857923497267,0.9803921568627452,highly_stable,30
22,Wheel-to-wheel,Race dynamics,71,0.7107576589840524,0.2655232836016002,0.8156201749871332,0.0091018375407865,0.90625,stable,30
18,Team dynamics,Narrative & meta,600,0.7089008440803826,0.2135970744558832,0.7796792006736624,0.0808310055865921,0.8472222222222222,stable,30
23,Circuit action,Race dynamics,72,0.7001869202982108,0.2344987756255449,0.7786847014925373,0.0091018375407865,0.8813559322033898,stable,30
30,Lap pace & timing,Strategy & technical,136,0.6970114928602408,0.2464126295372893,0.7821515151515152,0.0187841530054644,0.8706896551724138,stable,30
19,Race lead holding,Race dynamics,115,0.6939100333890857,0.2366595775868527,0.7723704866562009,0.0151124849733814,0.8829787234042553,stable,30
13,Championship & title,Narrative & meta,158,0.6931098099877998,0.2331351487685204,0.7847771560872081,0.0211748633879781,0.875968992248062,stable,30
16,Safety car deployment,Regulatory,122,0.6887250344549645,0.2507752242608817,0.7526166902404526,0.0165851955307262,0.9207920792079208,stable,30
27,Overtake battles,Race dynamics,762,0.6881468366052068,0.1969940782645651,0.7460332520104815,0.1039959016393442,0.8308383233532934,stable,30
26,Defending & attacking,Race dynamics,110,0.6641812116224334,0.2597173263842303,0.7569194419441945,0.0143156424581005,0.8666666666666667,stable,30
11,Team radio celebrations,Narrative & meta,55,0.6402543557262289,0.3564526154793461,0.8001089324618736,0.0,0.951219512195122,stable,30
31,Race leader changes,Race dynamics,162,0.6351457992541313,0.2206211196189152,0.7252715837621497,0.0225209497206703,0.7959183673469388,stable,30
20,Wing & car damage,Strategy & technical,61,0.6258319845674472,0.2858360207847488,0.7395421141888072,0.0,0.8852459016393442,stable,30
28,Corner battles,Race dynamics,82,0.6168162246669119,0.2474895466252926,0.732051282051282,0.0109289617486338,0.8636363636363636,stable,30
21,Braking & lockups,Race dynamics,128,0.5793012119801995,0.219124157766553,0.6695686070686071,0.0168298128112656,0.8032786885245902,borderline,30
3,Mirror checks defending,Race dynamics,47,0.5322123829980098,0.4421719257285836,0.8556910569105691,0.0,0.975609756097561,borderline,30
33,Field position changes,Race dynamics,122,0.5099163827575338,0.2202066852673076,0.4999701385570951,0.0163146144599003,0.819047619047619,borderline,30
25,Driver & team references,Narrative & meta,69,0.4718212959931907,0.2425411188576587,0.5834603658536586,0.0,0.7794117647058824,unstable,30
17,Gap & pace,Strategy & technical,67,0.4609585682791801,0.3191321871802048,0.5992347769456203,0.0,0.8285714285714286,unstable,30
29,Corner specific moves,Race dynamics,60,0.4453053682127489,0.3196227180541729,0.346813725490196,0.0,0.8823529411764706,unstable,30
24,Inter-car distance,Strategy & technical,60,0.4112717011382784,0.2508568039466993,0.3853448275862069,0.0,0.75,unstable,30
4,Race start launch,Race dynamics,42,0.357595770445965,0.4142550417634576,0.0075133316404266,0.0,0.9473684210526316,unstable,30
32,Front position changes,Race dynamics,45,0.2408531945621324,0.2047817763866005,0.1646844383686489,0.0,0.6521739130434783,unstable,30
5,Weather conditions,Strategy & technical,43,0.0748849391443725,0.2443930920173106,0.0061698806783227,0.0,1.0,unstable,30
7,Race start lights,Race dynamics,36,0.0411369116750484,0.058997627995857,0.0199046046596954,0.0,0.2461538461538461,unstable,30
