seed,n_clusters,noise_rate,ari_vs_p1,jaccard_vs_p1
1,34,0.35321040931084086,0.795478260442227,0.8996252337936355
7,34,0.3398718451680398,0.8031610990234285,0.8891121779556744
13,33,0.345102654635805,0.7915114840799223,0.8813897646707656
21,34,0.33712567019746303,0.813581768877795,0.8947774773122296
42,34,0.33516411664705115,1.0,1.0
100,34,0.3448411141624167,0.7849043713474546,0.8933916833404717
200,34,0.3383026023277102,0.8232531562072515,0.9007926976543212
314,34,0.3483719105531581,0.7823689896755585,0.8953843138577607
777,35,0.33516411664705115,0.7644440999415897,0.8872595617552166
