cluster_id,thematic_label,size,ax4_mean_jaccard,ax4_std_jaccard,ax4_min_jaccard,ax4_max_jaccard,ax4_stable
4,Race start launch,42,0.8809722222222222,0.1084366494523159,0.6875,1.0,True
7,Race start lights,36,0.8765760869565218,0.1496635160787476,0.4782608695652174,1.0,True
10,Chicane moves,62,0.8295833333333335,0.1146620941433276,0.625,1.0,True
0,DRS-assisted battles,205,0.823357843137255,0.0892163629849362,0.6470588235294118,0.9375,True
1,Time penalties,118,0.7779166666666667,0.125858855027721,0.6,0.9333333333333332,True
5,Weather conditions,43,0.7704166666666666,0.1065306750294122,0.6,0.9375,True
12,Podium finishes,139,0.768921568627451,0.1326334284823253,0.4666666666666667,0.9375,True
11,Team radio celebrations,55,0.7586928104575164,0.1507583594659541,0.4666666666666667,0.9375,True
8,Race control flags,118,0.7466666666666667,0.1428355671080035,0.5333333333333333,1.0,True
9,Formula 1 milestones,134,0.7239755612389883,0.1097413227536825,0.5,0.9333333333333332,True
2,Lights-out race starts,54,0.7191627966976265,0.0687831926110611,0.6,0.8666666666666667,True
3,Mirror checks defending,47,0.7170833333333333,0.0892960509889559,0.5333333333333333,0.8,True
20,Wing & car damage,61,0.6968627450980392,0.1441628580545114,0.4666666666666667,1.0,True
6,Grand Prix wins,465,0.6952542321276336,0.2061109362385136,0.2142857142857142,0.9333333333333332,True
15,Tires & compounds,379,0.6721078431372549,0.1349651798402814,0.4117647058823529,0.8125,True
29,Corner specific moves,60,0.6587036899506902,0.1660206080030565,0.4666666666666667,1.0,True
28,Corner battles,82,0.6383939393939394,0.2080249530310316,0.303030303030303,0.9333333333333332,True
17,Gap & pace,67,0.637437896211116,0.1599395576172122,0.4210526315789473,0.8666666666666667,True
19,Race lead holding,115,0.6070301798669354,0.2615165087531617,0.2758620689655172,0.9375,True
22,Wheel-to-wheel,71,0.6037628910698919,0.1959233434559893,0.3235294117647059,1.0,True
16,Safety car deployment,122,0.5984988875933148,0.1472508975413091,0.3333333333333333,0.8235294117647058,True
31,Race leader changes,162,0.5922671857885563,0.1986453979563228,0.2926829268292683,0.875,True
30,Lap pace & timing,136,0.5884848484848486,0.2351320027057838,0.2,0.9333333333333332,True
13,Championship & title,158,0.5480499376784207,0.17971382696706,0.3181818181818182,0.9333333333333332,True
23,Circuit action,72,0.5343602229315156,0.1908397966582212,0.325,0.8125,True
26,Defending & attacking,110,0.5191475543804474,0.1743386647690633,0.2272727272727272,0.7777777777777778,True
14,Pit stops,185,0.5153212926370322,0.2333965853758288,0.1666666666666666,0.8125,True
21,Braking & lockups,128,0.505717660475725,0.1022080724170191,0.3225806451612903,0.6818181818181818,True
25,Driver & team references,69,0.4926760025877672,0.1464935090860319,0.2647058823529412,0.75,False
24,Inter-car distance,60,0.4541641480561359,0.1893316189538114,0.1515151515151515,0.8125,False
32,Front position changes,45,0.417500037662297,0.108962858641179,0.21875,0.5909090909090909,False
18,Team dynamics,600,0.3931454967446347,0.156939109394396,0.1956521739130435,0.75,False
27,Overtake battles,762,0.357108284187744,0.0743404262152525,0.1935483870967742,0.4583333333333333,False
33,Field position changes,122,0.3472638406802593,0.0876166641004893,0.2083333333333333,0.5,False
