pipeline,factor,n_clusters,noise_pct,dbcv,silhouette,ari_vs_p1,nmi_vs_p1,mean_best_jaccard_vs_p1,degenerate,notes
MiniLM+UMAP+HDBSCAN,anchor,34,33.51641166470512,0.34771965666497656,0.662434995174408,1.0,1.0,1.0,False,canonical mcs=35
MPNet+UMAP+HDBSCAN,encoder,33,35.046423434026416,0.11245631293448805,0.30757632851600647,0.18885918722513043,0.4412622927329385,0.3395426787960182,False,rescued mcs=18
BGE+UMAP+HDBSCAN,encoder,35,45.168039754151955,0.23722647230011978,0.6107766628265381,0.19040631802713587,0.4472632466453642,0.35418619889593517,False,rescued mcs=30
GTE+UMAP+HDBSCAN,encoder,32,41.91186086046816,0.25246058765547175,0.5563592314720154,0.20747354948200794,0.4766184704061033,0.4083397246355054,False,rescued mcs=30
MiniLM+UMAP+OPTICS,density-family,36,67.94821498626914,0.23387974888543114,0.7801246047019958,0.23438069923928745,0.6103060941697892,0.5891921166006743,False,"rescued xi=0.05, min_samples=30"
MiniLM+UMAP+Leiden,density-family,39,0.0,-0.2091613879181846,0.4012598395347595,0.26303475631831763,0.7322609076694665,0.6536219553155656,False,"kNN k=15, resolution=0.7"
MiniLM+UMAP+KMeans,convex,34,0.0,-0.37495139016098816,0.4403388202190399,0.25012771763415514,0.7263244606001861,0.5857768978839102,False,k=34
MiniLM+UMAP+Ward,convex,34,0.0,-0.34105793772510495,0.4194831848144531,0.24551629887358276,0.7152289407704085,0.5682852217975554,False,k=34
