K,group_sizes,largest,smallest,singletons
2,"[25, 9]",25,9,0
3,"[17, 9, 8]",17,8,0
4,"[17, 8, 5, 4]",17,4,0
5,"[17, 8, 4, 4, 1]",17,1,1
6,"[11, 8, 6, 4, 4, 1]",11,1,1
8,"[11, 8, 4, 3, 3, 3, 1, 1]",11,1,2
10,"[6, 6, 5, 4, 3, 3, 3, 2, 1, 1]",6,1,2
