P1_cluster,size,P1_top_terms,P2_KMeans_MiniLM_UMAP_matched_cluster,P2_KMeans_MiniLM_UMAP_top_terms,P2_KMeans_MiniLM_UMAP_jaccard,P3_Ward_MiniLM_UMAP_matched_cluster,P3_Ward_MiniLM_UMAP_top_terms,P3_Ward_MiniLM_UMAP_jaccard,P4_HDBSCAN_BGE_UMAP_matched_cluster,P4_HDBSCAN_BGE_UMAP_top_terms,P4_HDBSCAN_BGE_UMAP_jaccard,P5_GMM_MiniLM_PCA_matched_cluster,P5_GMM_MiniLM_PCA_top_terms,P5_GMM_MiniLM_PCA_jaccard,P6_Spectral_MiniLM_UMAP_matched_cluster,P6_Spectral_MiniLM_UMAP_top_terms,P6_Spectral_MiniLM_UMAP_jaccard,P7_GMM_MiniLM_UMAP_matched_cluster,P7_GMM_MiniLM_UMAP_top_terms,P7_GMM_MiniLM_UMAP_jaccard
22,71,"wheel, wheel wheel, going wheel, hamilton, going, verstappen, perez, turn",32,"wheel, wheel wheel, going wheel, hamilton, turn, going, perez, verstappen",0.667,2,"wheel, wheel wheel, braking, going, zone, verstappen, braking zone, road",0.364,30,"wheel, wheel wheel, going wheel, wheel turn, turn, going, hamilton, verstappen",0.667,23,"tires, tire, wheel, tyres, wheel wheel, norris, hard, verstappen",0.2,25,"wheel, wheel wheel, going wheel, hamilton, going, perez, turn, wheels",0.579,31,"wheel, braking, wheel wheel, braking zone, brakes, zone, going wheel, hamilton",0.364
25,69,"driver, drivers, australian driver, australian, past, british, british driver, ferrari",5,"reaction time, reaction, good reaction, time, slipstream, good, verstappen, lead",0.034,10,"inside, hamilton, corner, verstappen, outside, goes, perez, leclerc",0.0,8,"driver, flag, australian driver, dutch driver, checkered, checkered flag, australian, flag australian",0.2,20,"ferrari, red bull, bull, red, mclaren, mercedes, team, mclarens",0.071,11,"virtual, virtual safety, safety car, safety, car, car virtual, car deployed, car safety",0.0,33,"driver, car, cars, drivers, car length, got, length, position",0.154
17,67,"seconds, gap, hour, tenths, second, tenths second, miles hour, extra",30,"seconds, stop, gap, box overtake, box, second, norris, hour",0.429,27,"seconds, box overtake, gap, box, second, hour, verstappen, tenths",0.429,22,"seconds, stop, stop seconds, gap, second stop, second, exactly, hamilton",0.2,22,"lap, seconds, verstappen, hamilton, norris, second, got, time",0.25,0,"power unit, unit, power, hydraulics, battery, working, drain battery, drain",0.0,24,"seconds, stop, pit, gap, slow, box overtake, second, verstappen",0.25
10,62,"chicane, roggia, second chicane, della, roggia chicane, della roggia, going, chicane going",8,"chicane, roggia, roggia chicane, della, della roggia, second chicane, going, hamilton",0.875,24,"chicane, roggia, della roggia, roggia chicane, della, second chicane, going, chicane going",1.0,34,"chicane, della, della roggia, roggia chicane, roggia, chicane ahead, hamilton, going",0.364,17,"going, hamilton, norris, verstappen, leclerc, russell, sainz, lando",0.071,2,"chicane, roggia, della roggia, della, roggia chicane, second chicane, going, chicane going",0.875,26,"chicane, roggia, della roggia, della, roggia chicane, second chicane, going, chicane going",0.875
20,61,"wing, puncture, damage, damaged, got puncture, rear, got, contact",33,"wing, gravel, damage, puncture, damaged, got puncture, got, contact",0.667,30,"wing, damage, puncture, damaged, got puncture, got, contact, car",0.765,47,"wing, damage, car, damaged, contact, puncture, rear, damaged wing",0.5,11,"teammate, ferrari, haas, hamilton, mercedes, got, going, red bull",0.034,21,"wing, damage, puncture, damaged, got puncture, contact, got, rear",0.765,32,"wing, puncture, damage, damaged, got puncture, got, damaged wing, damage wing",0.875
29,60,"turn, turn 11, 11, turn 10, turn seven, turn 12, 12, going",24,"inside, going, outside, overtake, corner, got, just, way",0.034,14,"place, field, turn, hamilton, ninth, pass, norris, way",0.071,9,"eighth, eighth place, eighth position, place, improve eighth, improve, verstappen eighth, position",0.0,5,"turn, inside, going, got, outside, does, way, line",0.071,17,"rubber, fresher rubber, fresher, new rubber, going fresher, difference, new, fresh rubber",0.034,23,"hamilton, verstappen, corner, goes, perez, leclerc, inside, norris",0.071
24,60,"car, car length, length, cars, car lengths, lengths, couple car, width",23,"car, engine, cars, throttle, unit, power unit, got, just",0.154,0,"car, just, got, engine, cars, yeah, going, turn",0.154,38,"car, width, got car, car width, car ahead, chance, inside, absolutely",0.304,2,"car, driver, braking, safety car, safety, turn, wheel, verstappen",0.154,10,"reaction time, reaction, good reaction, time, good, verstappen, time lando, great reaction",0.034,14,"verstappen, hamilton, ahead, perez, norris, leclerc, sainz, russell",0.071
11,55,"thank, job, guys, mate, weekend, fantastic, unbelievable, good",2,"race, championship, races, laps, racing, won, season, driver",0.0,6,"verstappen, hamilton, perez, norris, going, past, sainz, russell",0.0,17,"thank, weekend, job, guys, mate, good, unbelievable, fantastic",0.875,27,"prix, grand, grand prix, verstappen, place grand, hamilton, lead, max verstappen",0.0,20,"thank, job, mate, weekend, guys, good, unbelievable, really",0.875,17,"race, laps, racing, championship, races, smoke, stewards, verstappen",0.0
2,54,"lights away, lights, away, away lights, start, away verstappen, away bottas, verstappen",16,"lights away, lights, away lights, away, away verstappen, away bottas, verstappen, start",0.765,33,"lights away, lights, away lights, away, verstappen, away verstappen, start, away bottas",0.875,0,"lights away, lights, away, away lights, start, away verstappen, away bottas, good start",0.765,1,"lights away, lights, away, verstappen, flag, max, thank, okay",0.154,23,"lights away, lights, away, away lights, start, away verstappen, away bottas, verstappen",0.875,19,"lights away, lights, away lights, away, away verstappen, away bottas, verstappen, start",0.765
3,47,"mirrors, mirror, checking, checks, scarlet, checking mirrors, scarlet ferrari, checking left",19,"mirrors, mirror, checking, checks, scarlet, checking mirrors, scarlet ferrari, checking left",0.875,26,"mirrors, mirror, checking, checks, scarlet, checking mirrors, scarlet ferrari, hand mirror",0.875,2,"mirrors, mirror, checking, checking mirrors, looking mirrors, looking, left mirror, driving mirrors",0.5,10,"goes, hamilton, inside, verstappen, norris, perez, leclerc, sainz",0.0,14,"mirrors, mirror, checking, scarlet, checks, checking mirrors, scarlet ferrari, checking left",0.875,0,"launch, mirrors, launch line, mirror, good launch, checking, line, checks",0.25
32,45,"place, fourth, position, second, fourth place, norris, position charles, second place",25,"inside, hamilton, verstappen, corner, going, perez, outside, goes",0.111,19,"gravel, dunk, slam dunk, elbows, slam, teammate, going, inside",0.0,14,"sitter, pole sitter, place, pole, position, russell, george russell, hamilton",0.154,8,"position, place, second, hamilton, verstappen, leclerc, norris, piastri",0.2,26,"throttle, trigger happy, happy throttle, trigger, bit trigger, squeezes throttle, just, feather throttle",0.0,25,"going, inside, place, road, outside, just, got, grass",0.111
5,43,"rain, minutes, going, rain coming, wet, rain falling, 10 minutes, track",29,"rain, smoke, stewards, retire, going, grand prix, grand, prix",0.304,8,"rain, smoke, stewards, laps, going, racing, car, retire",0.154,3,"rain, rain coming, light, minutes, 10 minutes, falling, water, rain falling",0.364,26,"turn, going, just, oh, way, turn number, rain, look",0.071,13,"rain, minutes, going, rain coming, wet, rain falling, track, 10 minutes",0.667,6,"place, turn, norris, hamilton, p6, ninth, seventh, 10",0.0
4,42,"launch, launch line, good launch, line, good, verstappen, got, max",18,"launch, launch line, good launch, line, good, verstappen, got, max",0.765,9,"launch, reaction time, reaction, launch line, good reaction, good launch, good, time",0.5,19,"reaction time, reaction, good reaction, launch, good, time, launch line, line",0.429,18,"verstappen, got, leclerc, hamilton, max, launch, lando, norris",0.304,5,"launch, launch line, good launch, line, good, verstappen, got, max",0.765,13,"slipstream, verstappen, hamilton, lead, going, got, leclerc, norris",0.2
7,36,"lights, grand prix, grand, prix, prix underway, underway, red lights, lights time",10,"teammate, inside, verstappen, ferrari, got, going, hamilton, russell",0.034,16,"race, championship, races, won, win, racing, season, drivers",0.0,25,"grand, grand prix, prix, underway, prix underway, lights, racing, green flag",0.579,12,"prix, grand, grand prix, prix underway, underway, formula, lights, racing",0.429,33,"lights, grand prix, grand, prix, prix underway, underway, red lights, lights time",0.667,1,"gravel, elbows, goes, gravel goes, magnussen, magnussen gravel, got elbows, gravel trap",0.0
