min_cluster_size,n_clusters,noise_pct,largest_cluster
10,91,35.4982322901663,464
15,55,27.66793243420192,757
20,43,30.745056959539085,692
25,39,33.311509755139454,637
30,35,32.23778970800053,820
35,34,32.8270263192353,792
40,32,31.465235039937152,809
45,30,33.08890925756187,833
50,29,33.39007463663742,854
55,24,37.26594212387063,835
60,23,37.65876653136048,794
75,3,0.9558727248919732,7242
90,3,1.0213434594736153,7237
120,2,0.0,7433
