threshold,observed,observed_pct,ci_lo,ci_hi,ci_lo_pct,ci_hi_pct
4/4,15,44.11764705882353,9.0,21.0,26.470588235294116,61.76470588235294
>=3/4,25,73.52941176470588,20.0,30.0,58.8235294117647,88.23529411764706
>=2/4,29,85.29411764705883,25.0,33.0,73.52941176470588,97.05882352941177
