cluster_id,old_mean_30,new_mean_200,difference_new_minus_old,median,sd,p10,q1,q3,p90,iqr,min,max,n_replicates_evaluable,old_pass,new_pass,verdict_changed,distance_to_threshold,degenerate_excluded_mean,degenerate_excluded_pass
0,0.9633688876438419,0.9660007620170293,0.0026318743731874594,0.9700598802395209,0.019678280551837794,0.934478021978022,0.9567901234567902,0.9814814814814815,0.9877300613496932,0.024691358024691357,0.9117647058823529,1.0,200,True,True,False,0.466001,0.965870209482295,True
1,0.9647983554900499,0.9675122149963775,0.0027138595063276316,0.970442632498544,0.025210745949567775,0.9391387559808613,0.9577827547592386,0.9829052969502408,0.98989898989899,0.025122542191002184,0.8468468468468469,1.0,200,True,True,False,0.467512,0.9677658949158046,True
2,0.837534819648701,0.8419946499979588,0.004459830349257787,0.8947251773049645,0.19998477755507665,0.7890977443609023,0.8431372549019608,0.9321969696969696,0.9556521739130435,0.08905971479500885,0.0003863987635239567,1.0,200,True,True,False,0.341995,0.8785158088105597,True
3,0.556394778621071,0.4701660460023771,-0.0862287326186939,0.47212039359444335,0.44918455980193567,0.0,0.005416803173503047,0.9285714285714286,0.9546464646464646,0.9231546253979256,0.0,1.0,200,True,False,True,-0.029834,0.5241434742980967,True
4,0.395507232969917,0.3434230688463403,-0.05208416412357675,0.005936252882450961,0.4137683442020776,0.0,0.0,0.8389046941678521,0.9024390243902439,0.8389046941678521,0.0,0.9722222222222222,200,False,False,False,-0.156577,0.3906272053788823,False
5,0.07103566410548329,0.09138650619950368,0.020350842094020397,0.0057841104092339665,0.2668026557397854,0.0,0.0016987081394793811,0.009828188701223064,0.07446280991735521,0.008129480561743683,0.0,1.0,200,False,False,False,-0.408613,0.10945483045732073,False
6,0.7710823935106774,0.7923065682727564,0.02122417476207894,0.9487445384657929,0.33251829983099496,0.06434497654432328,0.8959628413773835,0.9600793650793651,0.968346063046799,0.06411652370198162,0.06041986687147977,0.9841269841269841,200,True,True,False,0.292307,0.9414101015884861,True
7,0.03703590270518857,0.060210115373007085,0.023174212667818515,0.02684684684684685,0.1281055279154042,0.002526619970474605,0.007692307692307693,0.04928194011651538,0.15054974524001072,0.041589632424207684,0.0,0.9166666666666666,200,False,False,False,-0.43979,0.07054199064496111,False
8,0.6925753944269435,0.7400214965614151,0.047446102134471646,0.911043956043956,0.3372897023533387,0.01652405903550102,0.7114975450081833,0.9423629531388151,0.9603960396039604,0.23086540813063183,0.0,1.0,200,True,True,False,0.240021,0.8777975015612022,True
9,0.7182489405005505,0.7480820180898189,0.029833077589268342,0.8938053097345132,0.3324153793140722,0.018557503311090677,0.8541387679946434,0.9146710208030963,0.9333962264150943,0.06053225280845287,0.016649502231376588,0.9724770642201835,200,True,True,False,0.248082,0.8976592410262888,True
