cluster_id,checkpoint,cumulative_mean,abs_diff_vs_full,passes_at_0.50
0,5,0.8606372549019607,0.05162418300653593,True
1,5,0.8316666666666667,0.01196666666666657,True
2,5,0.6841666666666667,0.016173503611971007,True
3,5,0.7066666666666667,0.018590967726803687,True
4,5,0.7744117647058824,0.07612957024915223,True
5,5,0.7424242424242424,0.027229651483134276,True
6,5,0.6172498274672187,7.100205085364131e-05,True
7,5,0.9366666666666668,0.162186575507396,True
8,5,0.8133333333333332,0.13796850016617113,True
9,5,0.6759714795008913,0.055999121703372845,True
10,5,0.9114705882352941,0.10234041394335514,True
11,5,0.7299955436720142,0.04876345386639502,True
12,5,0.7970707070707072,0.05665126308640822,True
13,5,0.47130158730158733,0.05663718036595833,False
14,5,0.5203099944431214,0.02298951423499418,True
15,5,0.6724509803921568,0.046055298812888945,True
16,5,0.5279824561403508,0.13927321968537143,True
17,5,0.693020594965675,0.07096636764620345,True
18,5,0.2713875640346229,0.10085539467055887,False
19,5,0.5925280112044818,0.015337520854491693,True
20,5,0.6957843137254902,0.026577246077683636,True
21,5,0.5327272727272727,0.027881777201959945,True
22,5,0.6247222222222222,0.01983609823122834,True
23,5,0.6741205578047683,0.06343750240573576,True
24,5,0.4163143816084993,0.0740487763051011,False
25,5,0.5148284313725491,0.016245248423950143,True
26,5,0.529795665634675,0.024242516576970186,True
27,5,0.30854026055126693,0.08033707592578909,False
28,5,0.5747326203208556,0.05984101192119262,True
29,5,0.648888888888889,0.03969565227103233,True
30,5,0.5350282155302439,0.048542826142057516,True
31,5,0.6000918413342349,0.019856229197516728,True
32,5,0.3526766718417572,0.060060218434046186,False
33,5,0.42856858134115094,0.018657103197553038,False
0,10,0.8199019607843138,0.010888888888888948,True
1,10,0.7979166666666666,0.021783333333333488,True
2,10,0.7029166666666666,0.002576496388028926,True
3,10,0.727671568627451,0.002413934233980619,True
4,10,0.8613725490196078,0.010831214064573214,True
5,10,0.7160335497835498,0.05362034412382688,True
6,10,0.6863034851621809,0.06898265564410855,True
7,10,0.8644852941176471,0.09000520295837633,True
8,10,0.7288235294117648,0.053458696244602644,True
9,10,0.6711686971439293,0.05119633934641088,True
10,10,0.8232598039215688,0.014129629629629825,True
11,10,0.7687477718360072,0.010011225702402093,True
12,10,0.7668648168996468,0.026445372915347876,True
13,10,0.4918316236903194,0.03610714397722625,False
14,10,0.44684115706561534,0.09645835161250027,False
15,10,0.5751470588235293,0.05124862275573849,True
16,10,0.6256578947368422,0.041597781088880015,True
17,10,0.6015817997679621,0.020472427551509464,True
18,10,0.3654293669225676,0.006813591782614148,False
19,10,0.6195973389355742,0.011731806876600692,True
20,10,0.6695588235294118,0.0003517558816051869,True
21,10,0.5318740031897925,0.02702850766447973,True
22,10,0.6394652089160099,0.005093111537440631,True
23,10,0.5852440395861448,0.025439015812887766,True
24,10,0.4748298961182593,0.015533261795341091,False
25,10,0.4805822197749947,0.05049146002150451,False
26,10,0.48142367226338056,0.07261450994826457,False
27,10,0.3387504843867176,0.0501268520903384,False
28,10,0.6745885323826502,0.04001490014060194,True
29,10,0.7169444444444445,0.028359903284523202,True
30,10,0.5342624737781938,0.04930856789410765,True
31,10,0.6055333934340019,0.014414677097749684,True
32,10,0.4074605497636806,0.005276340512122779,False
33,10,0.39192665684502237,0.017984821298575537,False
0,20,0.8170465686274511,0.008033496732026246,True
1,20,0.8095833333333333,0.010116666666666774,True
2,20,0.7070098039215686,0.006669633642930939,True
3,20,0.7514931630546956,0.02623552866122525,True
4,20,0.8220255602240896,0.02851577473094502,True
