min_cluster_size,n_clusters,noise_pct,largest_cluster
10,148,25.82537288419641,216
15,103,32.27752639517345,200
20,70,31.02061337355455,379
25,56,34.13775766716943,363
30,46,38.15987933634992,359
35,31,40.25473437238143,397
40,18,23.49589408412938,2346
45,8,13.038377744260096,2297
50,8,14.36232612703201,2259
55,13,28.50678733031674,1950
60,12,29.730182671359135,1942
75,2,2.547343723814312,5721
90,2,2.547343723814312,5721
120,4,23.26127032009385,2094
