cluster,axis4_score,axis4_std
0,0.5566666666666666,0.1011599393699567
1,0.8145833333333332,0.1023211515550697
2,0.8979147597254006,0.1046140755503733
3,0.8150000000000001,0.1012285642604014
4,0.8017216955432058,0.1185467796902454
5,0.3735143712328562,0.1818925431467789
6,0.9283333333333332,0.0604898981465316
7,0.5946637426900585,0.2294297018465626
8,0.3702788371895923,0.1391109713304474
9,0.465383120566187,0.1454489382510099
10,0.799468954248366,0.1145598434557364
11,0.5344961027889418,0.2070881674965956
12,0.6677159244264508,0.1339137296793581
13,0.5061044589113642,0.137960845028689
14,0.5220016982071936,0.1597944204547495
15,0.5608816183816184,0.1857491681509804
16,0.8366389599317989,0.0910557794013794
17,0.8347549019607843,0.114160436439169
18,0.4308045175273325,0.1159061532618453
19,0.6646717171717171,0.175266577319212
20,0.5901536576884874,0.1679065799189973
21,0.6527102683178534,0.0767920167853535
22,0.6841666666666666,0.170556686568816
23,0.6016197800021329,0.1659158889599626
24,0.7501785714285714,0.1533109756141554
25,0.6623076923076924,0.1838950065622427
26,0.6720168067226892,0.1535387332180898
27,0.3801775025235145,0.1325687387087236
28,0.7019956140350877,0.1995023637844583
29,0.4640837705235238,0.1819307842159304
30,0.4572544953465257,0.1198077209436612
