cluster,enc_all,enc_bge,enc_gte,kmeans,ward,optics,leiden,n_recovered,n_alternatives
0,0.3647058823529411,0.422680412371134,0.4260869565217391,1.0,1.0,0.2903225806451613,1.0,6,7
1,0.7142857142857143,0.7263157894736842,0.6842105263157895,1.0,1.0,0.4042553191489361,1.0,7,7
2,0.8974358974358975,0.0128205128205128,0.8780487804878049,1.0,1.0,1.0,1.0,6,7
3,0.640625,0.5076923076923077,0.5076923076923077,1.0,1.0,1.0,1.0,7,7
4,0.2835820895522388,0.4942528735632184,0.0855263157894736,0.9135802469135802,0.9135802469135802,0.3378378378378378,1.0,5,7
5,0.4494047619047619,0.2808641975308642,0.5594594594594594,0.7165109034267912,0.9938080495356038,0.1713395638629283,0.7244582043343654,5,7
6,0.7169811320754716,0.1333333333333333,0.0,1.0,1.0,0.6097560975609756,1.0,5,7
7,0.0113636363636363,0.4459459459459459,0.6607142857142857,0.2838709677419355,0.3259259259259259,0.5227272727272727,0.8979591836734694,5,7
8,0.3298611111111111,0.4481605351170568,0.4325259515570934,0.6972789115646258,0.71280276816609,0.1213235294117647,0.5441176470588235,6,7
9,0.5204460966542751,0.3113207547169811,0.6487603305785123,0.8571428571428571,0.5647382920110193,0.3170731707317073,0.812,7,7
10,0.6206896551724138,0.68,0.6415094339622641,0.1990521327014218,0.1702127659574468,1.0,0.9545454545454546,5,7
11,0.3771929824561403,0.1111111111111111,0.0092592592592592,0.3840579710144927,0.1460055096418732,0.4716981132075472,0.6842105263157895,4,7
12,0.0347826086956521,0.0163934426229508,0.1753554502369668,0.2240802675585284,0.2838983050847458,0.3432835820895522,0.6146788990825688,2,7
13,0.6764705882352942,0.2512562814070351,0.3911111111111111,0.4414715719063545,0.559322033898305,0.1742424242424242,0.6052631578947368,5,7
14,0.5844402277039848,0.1696779261586802,0.1944444444444444,0.7655310621242485,0.7875536480686696,0.1083123425692695,0.43424317617866,4,7
15,0.1679389312977099,0.1827956989247312,0.2421875,0.2926136363636363,0.273209549071618,0.203883495145631,0.4539877300613497,1,7
16,0.2802547770700637,0.46875,0.2923076923076923,0.1363636363636363,0.1273209549071618,0.3469387755102041,0.5465116279069767,3,7
17,0.3376623376623376,0.4358974358974359,0.4666666666666667,0.1505681818181818,0.1405835543766578,0.913793103448276,0.8833333333333333,5,7
18,0.2962962962962963,0.23841059602649,0.1528662420382165,0.2753623188405797,0.3423423423423423,0.1973684210526315,0.8351648351648352,2,7
19,0.5892857142857143,0.2848101265822785,0.1818181818181818,0.3108108108108108,0.2026431718061674,0.3695652173913043,0.7758620689655172,4,7
20,0.1972789115646258,0.2442748091603053,0.0876068376068376,0.1276595744680851,0.092511013215859,0.7674418604651163,0.2424242424242424,1,7
21,0.0550363447559709,0.0498188405797101,0.0425531914893617,0.3004484304932735,0.2913043478260869,0.417910447761194,0.8589743589743589,3,7
22,0.6180555555555556,0.5615384615384615,0.5952380952380952,0.5404040404040404,0.6948051948051948,0.2897196261682243,0.7985074626865671,6,7
23,0.3298319327731092,0.2706422018348624,0.3214285714285714,0.4892601431980907,0.5625,0.2829268292682926,0.4890829694323144,5,7
24,0.0739130434782608,0.0608695652173913,0.0431654676258992,0.1575178997613365,0.2598425196850393,0.6428571428571429,0.75,2,7
25,0.2742857142857143,0.2818791946308724,0.37,0.4906832298136646,0.218232044198895,0.2278481012658227,0.6991150442477876,3,7
26,0.668918918918919,0.4886363636363636,0.574468085106383,0.3507692307692308,0.6141304347826086,0.219298245614035,0.8308823529411765,6,7
27,0.1368613138686131,0.2348178137651821,0.2669491525423729,0.25,0.2972136222910216,0.1487179487179487,0.3865546218487395,1,7
28,0.055613850996852,0.0502742230347349,0.038540949759119,0.2444444444444444,0.2478260869565217,0.2807017543859649,0.5333333333333333,1,7
29,0.0802919708029197,0.066003616636528,0.0526675786593707,0.2485714285714285,0.3104693140794224,0.4597701149425287,0.3846153846153846,3,7
30,0.2600619195046439,0.1778929188255613,0.1775956284153005,0.556745182012848,0.5951859956236324,0.1029411764705882,0.5250836120401338,3,7
