pipeline,n_clusters,noise_pct,scored_on_pct,silhouette,dbcv
primary (UMAP+HDBSCAN),31,40.3,59.7,0.6205,0.5485
enc_all,25,34.1,65.9,0.2203,-0.9239
enc_bge,36,37.3,62.7,0.0265,-0.8624
enc_gte,31,28.8,71.2,0.0458,-0.9455
kmeans,31,0.0,100.0,0.4207,-0.5993
ward,31,0.0,100.0,0.4025,-0.3836
optics,180,33.2,66.8,0.709,0.5952
leiden,79,0.0,100.0,0.3608,
res_mcs17,91,33.6,66.4,0.6925,0.6405
res_mcs52,8,14.6,85.4,0.4064,0.319
seed_umap2,22,20.9,79.1,0.3523,-0.3624
