ward_group,n_clusters,n_sentences,domain_keywords
4,11,977,machine / steven / 77 / turn / 13 / corner
2,9,1341,laps / flag / racing / lap / car / track
1,6,598,look / happens / leader / friends / quick look / thank
3,5,649,position / seconds / place / seconds leader / second / leader
