variant,n_clusters,noise_pct,ari_all,nmi_all,ari_co_clustered,n_co_clustered
"default granularity (mcs=10), masked",148,25.8,0.1454,0.6044,0.5632,2932
"default granularity (mcs=10), unmasked",151,24.8,0.0983,0.4799,0.3387,2896
