session,sentences,median_cosine,covered,coverage_pct
VreR8mdkPH0,882,0.58820325,780,88.43537414965986
VYTJiGWe4fo,543,0.59997076,484,89.13443830570903
HHJ0cIAJdGY,740,0.6279432,669,90.4054054054054
pdRjO3MUTGQ,1026,0.5947732,937,91.32553606237816
