cluster,axis2_score,axis2_std
0,0.4456287805873186,0.457290539647355
1,0.926209951678883,0.1749816605613199
2,0.0609514598333875,0.2212739710831964
3,0.8000276991104939,0.2681938408507389
4,0.8336402953399952,0.3214461379015974
5,0.5915414357444703,0.213219507910314
6,0.2736855798375665,0.4005355572399111
7,0.2282160595606052,0.3656044132613693
8,0.6160466811222366,0.2506409271118257
9,0.5774402736649216,0.3178131086299316
10,0.1206177066251504,0.2740482932302795
11,0.1973419675787797,0.2979397882561591
12,0.4417662371627466,0.3216620456814406
13,0.5093762849033683,0.3036390986715077
14,0.6803407082298986,0.2821344615064761
15,0.3854245926243216,0.2449147657941321
16,0.2329207970424625,0.1932398748802748
17,0.3280118163127036,0.2684396909990174
18,0.483596790936024,0.2905673357891549
19,0.5529799585957964,0.2958032535734102
20,0.1731161512051775,0.1182582107258461
21,0.5837821456351298,0.3746343957951568
22,0.6603752296123407,0.3231846177858813
23,0.5752052105555349,0.2423660032519099
24,0.3636255253791268,0.3102629367549266
25,0.4969378695523107,0.2812797940169934
26,0.6740585965234261,0.3233802123925083
27,0.2921588526700468,0.1449475161085887
28,0.2025099349700637,0.2262323464278232
29,0.1881419045563966,0.165781068299448
30,0.3902421390032378,0.1969628284779389
