ward_group,n_clusters,louvain_counterpart,matched,match_pct,domain_keywords
4,11,1,5,45.5,machine / steven / 77 / turn / 13 / corner
2,9,5,5,55.6,laps / flag / racing / lap / car / track
1,6,4,5,83.3,look / happens / leader / friends / quick look / thank
3,5,2,5,100.0,position / seconds / place / seconds leader / second / leader
