category_id,axis1_recovered,axis1_total,axis1_judges_expected,axis1_judges_missing,axis1_complete,axis1_score,axis2_score,axis2_std,has_estimate,n_train_enriched,n_test_strict,n_test_lenient,n_test_direction,rep_strict,rep_lenient,rep_dir,axis3_pass,axis3_score,axis4_score,axis4_std
0,6,7,7,,True,0.8571428571428571,0.4456287805873186,0.457290539647355,True,65,5,5,5,0.0769230769230769,0.0769230769230769,0.0769230769230769,False,0.0769230769230769,0.5566666666666666,0.1011599393699567
1,7,7,7,,True,1.0,0.926209951678883,0.1749816605613199,True,26,4,9,9,0.1538461538461538,0.3461538461538461,0.3461538461538461,False,0.1538461538461538,0.8145833333333332,0.1023211515550697
2,6,7,7,,True,0.8571428571428571,0.0609514598333875,0.2212739710831964,False,0,0,0,0,,,,False,,0.8979147597254006,0.1046140755503733
3,7,7,7,,True,1.0,0.8000276991104939,0.2681938408507389,True,7,1,1,1,0.1428571428571428,0.1428571428571428,0.1428571428571428,False,0.1428571428571428,0.8150000000000001,0.1012285642604014
4,5,7,7,,True,0.7142857142857143,0.8336402953399952,0.3214461379015974,True,10,4,6,7,0.4,0.6,0.7,False,0.4,0.8017216955432058,0.1185467796902454
5,5,7,7,,True,0.7142857142857143,0.5915414357444703,0.213219507910314,True,70,9,17,19,0.1285714285714285,0.2428571428571428,0.2714285714285714,False,0.1285714285714285,0.3735143712328562,0.1818925431467789
6,5,7,7,,True,0.7142857142857143,0.2736855798375665,0.4005355572399111,True,12,5,8,8,0.4166666666666667,0.6666666666666666,0.6666666666666666,False,0.4166666666666667,0.9283333333333332,0.0604898981465316
7,5,7,7,,True,0.7142857142857143,0.2282160595606052,0.3656044132613693,True,12,4,5,5,0.3333333333333333,0.4166666666666667,0.4166666666666667,False,0.3333333333333333,0.5946637426900585,0.2294297018465626
8,6,7,7,,True,0.8571428571428571,0.6160466811222366,0.2506409271118257,True,31,7,9,9,0.2258064516129032,0.2903225806451613,0.2903225806451613,False,0.2258064516129032,0.3702788371895923,0.1391109713304474
9,7,7,7,,True,1.0,0.5774402736649216,0.3178131086299316,True,20,1,3,3,0.05,0.15,0.15,False,0.05,0.465383120566187,0.1454489382510099
10,5,7,7,,True,0.7142857142857143,0.1206177066251504,0.2740482932302795,True,17,6,8,9,0.3529411764705882,0.4705882352941176,0.5294117647058824,False,0.3529411764705882,0.799468954248366,0.1145598434557364
11,4,7,7,,True,0.5714285714285714,0.1973419675787797,0.2979397882561591,True,23,1,1,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,False,0.0434782608695652,0.5344961027889418,0.2070881674965956
12,2,7,7,,True,0.2857142857142857,0.4417662371627466,0.3216620456814406,True,17,3,5,6,0.1764705882352941,0.2941176470588235,0.3529411764705882,False,0.1764705882352941,0.6677159244264508,0.1339137296793581
